FrameNr,NumberMidPoints,MidPointX_1,MidPointY_1,Length_1,Width_1,MidPointX_2,MidPointY_2,Length_2,Width_2,MidPointX_3,MidPointY_3,Length_3,Width_3,MidPointX_4,MidPointY_4,Length_4,Width_4,MidPointX_5,MidPointY_5,Length_5,Width_5,MidPointX_6,MidPointY_6,Length_6,Width_6,MidPointX_7,MidPointY_7,Length_7,Width_7,MidPointX_8,MidPointY_8,Length_8,Width_8,MidPointX_9,MidPointY_9,Length_9,Width_9,MidPointX_10,MidPointY_10,Length_10,Width_10,MidPointX_11,MidPointY_11,Length_11,Width_11,MidPointX_12,MidPointY_12,Length_12,Width_12,MidPointX_13,MidPointY_13,Length_13,Width_13,MidPointX_14,MidPointY_14,Length_14,Width_14,MidPointX_15,MidPointY_15,Length_15,Width_15,MidPointX_16,MidPointY_16,Length_16,Width_16,MidPointX_17,MidPointY_17,Length_17,Width_17,MidPointX_18,MidPointY_18,Length_18,Width_18,MidPointX_19,MidPointY_19,Length_19,Width_19,MidPointX_20,MidPointY_20,Length_20,Width_20,MidPointX_21,MidPointY_21,Length_21,Width_21,MidPointX_22,MidPointY_22,Length_22,Width_22,MidPointX_23,MidPointY_23,Length_23,Width_23,MidPointX_24,MidPointY_24,Length_24,Width_24,MidPointX_25,MidPointY_25,Length_25,Width_25,MidPointX_26,MidPointY_26,Length_26,Width_26,MidPointX_27,MidPointY_27,Length_27,Width_27,MidPointX_28,MidPointY_28,Length_28,Width_28,MidPointX_29,MidPointY_29,Length_29,Width_29,MidPointX_30,MidPointY_30,Length_30,Width_30,MidPointX_31,MidPointY_31,Length_31,Width_31,MidPointX_32,MidPointY_32,Length_32,Width_32,MidPointX_33,MidPointY_33,Length_33,Width_33,MidPointX_34,MidPointY_34,Length_34,Width_34,MidPointX_35,MidPointY_35,Length_35,Width_35,MidPointX_36,MidPointY_36,Length_36,Width_36
1,35,1215.7875816993464,1478.6960784313726,16.58911442930676,11.801744927941195,502.5,1427.5710059171597,16.037390669675162,13.434901525238745,841.9246575342465,1427.0958904109589,16.909529737222577,11.077299899605421,773.2560975609756,1377.6463414634147,18.777551688727513,11.195025555730835,823.2785234899329,1357.6140939597315,15.756601963126682,12.070186671766134,760.5896551724138,1356.6586206896552,16.66638604983645,11.106555329244731,862.108,1345.556,13.67249109374867,11.71367522562253,384.241935483871,1330.0483870967741,13.547304094463518,11.717637046486518,875.0954198473282,1313.179389312977,15.781300279258366,10.594535969223482,992.4777777777778,1308.4666666666667,18.03871755653772,12.750646646469017,713.5224719101124,1243.2191011235955,16.90680240376616,13.454527761780806,702.94,1134.4866666666667,15.680056201223836,12.246171908614967,133.76143790849673,1101.7941176470588,15.82486686247628,12.434843023723188,1009.0314285714286,1085.4142857142856,16.500022872387717,13.615281492082403,1324.9153846153847,1064.1717948717949,16.028053758801388,15.535298197174216,657.3857142857142,1049.5514285714285,17.140054213186648,13.030133785459855,841.6103448275862,1030.6310344827587,14.73703876325167,12.616566031649226,804.1139240506329,1015.2025316455696,16.472481173122148,12.221416454158854,477.02906976744185,964.0406976744187,16.17478982373298,13.69811950985043,1069.5618556701031,782.4690721649484,19.12184850066309,12.937997893842264,674.7227272727273,693.8227272727273,18.104797898826853,15.546169961783239,845.3552036199095,655.2420814479638,18.200375015809584,15.527465918614823,1089.1482412060302,525.2437185929648,17.140856629988555,14.840004382873667,180.76845637583892,448.62080536912754,14.549879294004281,13.252895552959494,1042.87899543379,292.41780821917814,17.05375581846183,16.515265411778696,821.0965665236051,257.16523605150223,20.39042085294531,14.602782448020788,748.5165745856353,227.0414364640883,16.769149909100246,13.852466061687576,423.54020100502515,195.9020100502512,19.929863996132244,12.811267242829821,645.5310880829015,169.54145077720204,18.068261686758888,13.698554882177962,752.8040935672515,166.82163742690068,18.27727971378051,11.961896651709624,799.9577656675749,139.28201634877382,35.02610596621677,13.911808093064616,927.328125,137.234375,18.824585779989356,13.046075056448554,663.2025862068965,108.50431034482767,18.26649363186724,16.314441854163746,827.5673575129533,53.645077720207155,16.75132442854709,14.713123550001404,911.7780269058296,47.81390134529147,18.751700843156595,15.265654518477318,NaN,NaN,NaN,NaN
2,35,499.2028985507246,1452.4202898550725,16.379192020055356,10.826938342390424,839.7086330935252,1453.1043165467627,14.956440742272147,11.883538935455821,771.695652173913,1410.7536231884058,15.745016293950258,11.373273086944408,823.3620689655172,1395.0241379310346,15.375715247726413,12.06381895696969,760.2132352941177,1391.9191176470588,16.408905959838847,10.573456303950293,860.7666666666667,1362.1666666666667,13.169197933823314,11.704272876072304,873.6130434782609,1348.1260869565217,15.003856678783839,9.815217789914731,989.0771428571428,1345.2257142857143,18.598264074821213,12.050604266970733,382.7,1314.6399999999999,12.653677157459802,10.224033176529677,712.281954887218,1277.545112781955,14.223015261377546,12.019211609178527,703.4473684210526,1166.9962406015038,15.028820304352317,11.326318974954718,124.95054945054945,1132.6868131868132,17.660028445576945,13.230357759341352,1012.9353741496599,1119.6904761904761,15.376219561958727,12.196215739294338,1326.9046242774566,1089.8757225433526,17.168446328852564,13.049341517102267,653.7055555555555,1085.8444444444444,16.772388229317425,13.692715211935829,803.6698113207547,1053.0157232704403,15.975499838066936,12.696400213223498,843.513986013986,1052.423076923077,15.34032891181272,11.915330712254534,477.41715976331363,1000.1627218934912,16.243352664630354,13.382799760973233,1070.3829787234042,820.781914893617,17.923607065237594,13.358333704094989,668.3216216216216,731.2351351351351,17.771889366085933,13.33877757045192,843.6838565022422,681.2713004484305,17.871570286862948,15.966911811403797,1093.0969387755101,549.2397959183673,16.75092699649133,15.025466011015475,176.31456953642385,471.40728476821187,15.935811401474167,12.157274033800514,1046.3838383838383,326.3737373737374,16.20764680732133,15.743935837320668,820.5091743119266,298.3623853211009,20.356499587036804,13.6746717134965,746.0153374233129,263.05214723926383,16.563360917133036,12.641850772255577,411.6941176470588,218.72352941176473,16.36645703004218,13.330470255207018,642.4453551912568,194.4453551912568,17.80467387771036,13.127858061971738,752.0099337748344,185.81788079470198,15.756529127886013,12.238017360209454,797.1875,177.44293478260875,32.83321572463069,14.545883729070514,928.686170212766,178.2872340425531,18.8116188770377,12.762706970084878,656.8509615384615,136.62980769230762,19.21202719709903,13.951975715379643,912.1495327102804,88.2803738317757,19.258044936792107,14.247414798997852,826.9755244755245,78.17132867132864,14.900482164292706,12.22115093160432,911.2012195121952,25.45731707317077,17.46557494144301,11.993235159259662,NaN,NaN,NaN,NaN
3,35,837.6006711409397,1478.8221476510066,17.336259205819932,11.011614650893534,496.2299270072993,1478.3175182481752,15.043152210616629,11.658308460028763,771.6266666666667,1444.2466666666667,16.427356592401512,11.662121011942613,823.506329113924,1432.26582278481,15.830495143571303,12.739290050679603,759.6428571428571,1427.6714285714286,16.254790020126624,11.001918449291374,986.2203791469194,1380.7417061611375,20.4223428529999,13.289449045606611,866.4964412811388,1378.9377224199288,29.83218744164916,14.495540094022264,710.9896551724138,1310.6379310344828,15.530899331062933,11.910103754294832,382.02,1299.24,12.274684062979723,10.373241111341788,702.4358974358975,1199.897435897436,18.607891706923304,10.721390167210755,118.4578313253012,1162.4518072289156,15.728152841151397,13.610080644713046,1016.0952380952381,1155.4285714285716,17.740723697258648,12.08272925626874,651.3235294117648,1123.3395721925133,17.310871099225,13.868794637005776,1328.8488372093022,1114.9418604651164,16.691530600437325,13.204865343309807,802.94,1090.66,16.31719740269718,13.712210837945488,845.0666666666667,1075.5266666666666,15.307931230933532,12.49578939243615,477.26,1037.0142857142857,15.78881180055885,14.237374840001102,1070.1896551724137,856.2093596059113,19.143908871872355,13.526746131181492,661.696261682243,768.3224299065421,20.177416045428618,13.588534925268487,842.9497816593887,706.3646288209607,18.704945515940114,15.704454316777097,1096.0192307692307,573.4759615384615,16.8586145292686,15.733441587932106,172.23333333333332,492.74666666666667,15.418531895882827,12.412799252656706,1049.7813852813854,359.8506493506493,19.00825187839653,15.5762983213987,819.9618834080718,339.5,19.538982581996375,14.638191915195101,743.6777777777778,297.4722222222222,17.329579552423535,13.255224674753695,398.60731707317075,242.0999999999999,19.064974141097238,13.776864735029886,794.7619647355164,216.26070528967261,33.84873521614326,15.202315137106005,639.598445595855,219.8886010362694,18.525086960602838,13.305153827104641,929.7666666666667,218.93809523809523,19.20621883682578,13.963836567652333,750.4942857142858,209.29999999999995,17.026483824584048,13.139081740340163,650.2401960784314,164.0490196078431,19.059840544873914,13.77679719098397,912.3826291079812,128.3169014084508,19.53114812587503,14.097346666506755,826.3625,101.86875000000009,15.277353752657188,13.365041612960697,914.9292452830189,65.04716981132083,17.78390076331459,15.339989808044985,1272.8715596330276,31.82568807339453,19.145469454644495,14.54016817239582,NaN,NaN,NaN,NaN
4,36,769.6474358974359,1475.8333333333333,16.93295618786507,11.778758977505381,823.8129251700681,1468.908163265306,15.141490755117625,12.409107151549899,758.436170212766,1464.400709219858,16.756072069302036,10.752063386952974,983.5426829268292,1415.6463414634147,21.394232201660692,9.835867744921897,871.8526011560693,1413.442196531792,17.691756147376665,12.48210695349247,857.9107142857143,1394.2232142857142,12.348462962821028,11.613631294457067,709.1060606060606,1343.121212121212,15.628688567161344,10.79542288171307,382.08181818181816,1283.8545454545454,13.326322610199986,10.548582689786011,702.9822695035461,1231.145390070922,14.789391138443763,12.182775921956958,109.64893617021276,1193.2588652482268,17.627188970245143,10.357979625783564,1019.3012820512821,1188.75,15.636668940581634,12.754735437980651,648.9791666666666,1160.5208333333333,14.923826012140458,12.276399012532778,1330.422077922078,1140.2077922077922,16.099017270271155,12.25836114395918,801.7459016393443,1128.3907103825136,16.23764448712609,14.522264255847924,846.4121621621622,1098.0202702702702,14.817646946284095,12.885536340843622,477.280487804878,1072.6524390243903,16.033467072091163,13.134567705326784,1070.5052356020942,893.1282722513089,17.49885396152758,14.043228795249089,655.095,804.85,22.06682298949435,11.616837915298825,841.4414893617021,732.,16.448221543318052,14.57034142244101,1099.5969387755101,597.6938775510204,16.407523989293995,15.274380267866748,168.33216783216784,515.56993006993,14.10607397110238,12.958792804212635,1053.0166666666667,393.51666666666665,18.99370337385653,12.137513425160408,819.0727699530516,381.4483568075118,17.399423171309724,15.730903090318213,741.9387096774194,333.58387096774186,15.642225890804614,12.753736437391366,386.66201117318434,265.02513966480456,16.17354705198242,14.22711786677709,792.3813559322034,254.08474576271192,31.340139948424163,14.750203056823862,930.1066350710901,259.57582938388623,19.141460437445076,14.07170986892312,636.8779069767442,244.94767441860472,17.252564252570867,12.756091671702345,748.943113772455,232.48203592814366,17.665856921917204,12.04699216734211,644.1020942408377,190.78272251308908,18.16076348000511,13.567270495591073,912.4170984455959,168.6036269430051,18.014340871442347,13.724516944232048,825.4058823529411,127.04705882352937,16.583955683494267,13.111107261062305,918.4459459459459,105.02972972972975,17.28094122381304,13.688822262465212,1276.97311827957,57.13978494623666,17.9463681073768,13.263719428210475,747.1206896551724,26.302955665024683,18.686997676863136,13.956687610616,804.8766233766233,13.194805194805213,18.00691502165138,10.968266732885425
5,33,980.35,1450.5222222222221,19.673631617990445,11.732305161037447,870.9658385093168,1445.3944099378882,16.14002589363541,12.936467574078007,856.0140186915888,1410.443925233645,12.778808795132312,10.774406882224522,708.6782945736434,1377.6317829457364,14.541575113957563,11.372664479246938,381.6818181818182,1269.1493506493507,10.62402405687161,9.295167643008888,702.3198757763976,1262.413043478261,18.452239376649327,11.18307196743973,1022.0890410958904,1223.527397260274,15.769746024605073,11.843653908501578,101.2720588235294,1222.860294117647,16.645455334137047,10.494672900086147,645.931654676259,1196.18345323741,14.560915126078044,12.215083238863329,800.555,1165.595,16.572884036902146,15.616232410520631,1331.9875,1164.6625,16.303314454925843,12.60860570339979,848.1071428571429,1119.922619047619,17.43013007705635,12.356091283280064,478.2647058823529,1108.0764705882352,16.340297948807393,13.313106894836267,1070.7712765957447,930.7021276595744,18.98508176225152,12.66387867275832,648.7864077669902,841.7669902912621,19.542276104775237,13.491307019323083,840.9656862745098,757.9313725490196,17.363573439342026,15.07303674119804,1102.761780104712,621.2539267015707,16.69653960805673,14.634036874756465,163.84931506849315,537.6438356164383,14.64939885320885,12.799378374772939,1055.683406113537,426.9847161572052,19.69964075156269,14.847481741677386,817.800518134715,423.27202072538853,19.176785191754494,12.884711455961531,739.562827225131,368.3952879581152,19.216304584176612,12.692198659647753,930.1696832579186,300.47285067873304,19.348016725081788,14.599506081108412,790.4023746701847,292.71108179419525,32.01611660145187,15.550496380446477,375.1305418719212,288.33251231527083,17.913022260370724,14.448078356926887,633.67,270.4649999999999,17.751284971103356,14.366971910415902,747.3681318681319,257.0879120879122,18.310569947884712,12.653116775458372,637.3354978354978,220.6645021645022,19.48666035621831,15.276152242304558,912.2142857142857,209.4132653061224,18.735381545754233,13.399962289949933,820.6393939393939,153.5484848484848,16.589616883701314,12.699787135481435,921.3470588235294,145.4411764705883,18.018819657904913,12.05373463946911,1281.9666666666667,82.10952380952381,19.17336070345639,14.018394746282292,741.6732673267327,51.321782178217745,20.324200810888243,12.691219158684282,801.2463414634146,46.88536585365864,18.510577279201584,14.188341497233068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,32,977.280487804878,1485.841463414634,17.94416596999514,11.680905465567374,869.8669064748201,1478.3489208633093,14.963338197596073,11.825936200165978,854.478947368421,1425.4473684210527,12.167706294674682,9.998986014115038,707.8629629629629,1409.0925925925926,14.256127479042366,12.039410738069751,703.2446808510638,1293.9609929078015,15.632494276429394,11.592564823823961,1025.760606060606,1257.5,17.173994437654965,12.276264117947123,94.09756097560975,1251.6341463414633,14.946723109871224,14.206118072998283,644.1962025316456,1233.0569620253164,16.766672310587218,12.110596770592409,799.546875,1202.3177083333333,16.419575882481737,15.07748943165428,1334.1973684210527,1190.0263157894738,14.953270470060387,13.02536333699966,478.5112359550562,1144.2752808988764,17.04389768775504,13.33151382015462,849.8972602739726,1141.6027397260273,17.036302109517536,10.989499613036884,1071.0093167701864,965.2577639751553,16.786380402078137,12.299984302995949,642.3093220338983,878.1355932203389,18.689552296663933,16.183094074678568,839.0217391304348,783.6576086956521,16.139444736807253,14.574555292077903,1106.4065934065934,645.2967032967033,15.909106629423313,14.627630999637686,160.03086419753086,560.7530864197531,17.632239927215682,11.78887653863471,816.8172043010753,464.3225806451612,19.409411397327936,12.234269046578135,1058.7408376963351,460.8403141361257,17.604560677233575,13.874906808043743,738.035,404.99,18.79068525864908,13.606209887782423,930.2123287671233,341.32648401826486,19.65774227459411,14.254223698031149,788.6048387096774,331.0322580645161,31.152576638601452,15.494423162665104,362.7769953051643,310.8192488262912,17.163190539371865,15.833445819326089,630.37,295.5899999999999,17.76885593145994,14.450873983500847,745.9012345679013,280.50617283950623,17.931344369484407,11.574304586376314,630.3811881188119,256.6683168316831,16.917755006076934,15.3636294384054,911.6366120218579,250.5273224043715,18.368776579952357,12.736244479930185,923.5887573964498,186.19230769230762,18.558537464684413,11.593671594743837,816.6090909090909,182.0212121212121,16.270976181432722,12.955991726406966,1286.6559139784947,107.94086021505382,17.919653332705863,13.354965219146445,798.0183246073299,80.67277486910984,17.85207508236085,13.730521854263115,736.0872340425532,74.33829787234049,21.101559840870337,14.198179809433277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,30,706.1601307189543,1442.3692810457517,16.61161726088804,11.762265745177979,853.74,1441.09,12.488627846787972,10.288973442692503,702.8304347826087,1325.2652173913043,14.170472044970301,10.369439881661293,1028.9038461538462,1291.2179487179487,16.13840648201152,12.311253301426134,87.50787401574803,1281.1456692913387,13.579334143097011,12.059618895121314,641.8006993006993,1269.1433566433566,15.537742725438541,11.73686758905297,798.7245989304813,1238.8796791443851,16.68797474696115,14.359107917464888,1334.7911392405063,1214.6012658227849,14.741590987073062,13.68360973388616,478.7280701754386,1180.2076023391812,17.46978964828488,12.499279270709975,850.9242424242424,1163.590909090909,14.399013497385756,11.706853212484138,1071.2714285714285,1002.5057142857142,18.28259667571625,12.252413906989569,636.0722891566265,913.3674698795181,16.281180244106434,12.970939733375465,838.5333333333333,809.4809523809524,17.69479212435181,15.211971675061436,1104.5103092783504,670.8041237113403,17.110876742528927,14.533439819125606,156.24857142857144,582.6142857142858,15.67855530034439,14.234049921348115,815.7747252747253,505.88461538461536,19.415920297804647,11.989799154552125,1061.8862660944205,494.4699570815451,18.28355854825286,16.272252963250715,735.5867052023121,439.91618497109835,17.12743821555411,12.887764613445126,930.0391705069125,381.99769585253466,20.025011450521514,13.860632718098481,786.6634877384196,369.76702997275197,30.839757003731457,15.462893454430432,351.13128491620114,334.8296089385474,16.696626590241806,13.73458348834502,627.9795321637426,320.6695906432749,17.91618857211324,12.205574828281234,744.1962025316456,305.2341772151899,16.387118108450657,12.392092090681809,911.5155440414508,291.98704663212425,19.35809360473239,12.723998920371976,623.14,291.56857142857143,18.253957576090524,12.29372314348482,925.5833333333334,227.08333333333326,18.371301969380564,11.677682981775485,811.5322580645161,209.82258064516122,15.427806391931982,12.814982984478709,1291.3926553672316,132.86158192090397,15.528026878727982,14.601086335736458,794.5670391061452,113.7681564245811,17.8556478820144,12.766852043554671,730.6318181818182,99.50454545454545,22.11421730729375,12.797419852035066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,29,704.4444444444445,1473.7777777777778,13.792673481609555,11.70953151271823,851.8061224489796,1455.6224489795918,12.455949187547608,10.069546604539289,703.1234567901234,1355.5493827160494,18.26110100700905,11.380183019807733,1032.6142857142856,1323.6785714285713,15.796061279508196,11.321009865756333,79.67948717948718,1310.1666666666667,18.128364216979413,11.155886251740544,638.35,1303.7285714285715,16.0453113080481,11.170525416874918,797.6061452513967,1275.3659217877096,17.51942530101315,13.066167825635507,1337.2939393939394,1239.6030303030302,15.964490623176227,13.211372567968153,479.89869281045753,1215.2843137254902,17.52792483001213,11.139955377848336,852.8464566929134,1185.3031496062993,15.237284704064058,10.718718998969022,1071.0824175824175,1038.142857142857,19.39516824385873,11.959957663062836,629.0303867403314,951.0801104972376,16.093736761303436,14.48379293119892,836.8027027027027,834.581081081081,16.065615393588228,14.799576198022676,1101.376404494382,697.8258426966293,16.992824898223073,13.421332782596435,152.05555555555554,605.7222222222222,14.42948226622783,11.974764289964995,814.9648648648649,547.581081081081,19.547383143360413,12.074621979896817,1066.020618556701,528.1855670103092,16.704268648103092,14.958270330303527,733.1878306878307,477.8915343915344,16.037497843708863,15.178424317546437,930.1698113207547,422.7877358490566,19.5265094040872,13.879030904347022,784.4737609329446,408.5553935860057,31.68786516981949,14.154288089207524,339.39005235602093,357.280104712042,16.66335539484564,14.64641050539272,620.268149882904,337.10889929742393,41.75110617565017,15.404962868243787,911.3429319371728,333.61518324607323,19.102594620348118,12.769896839858326,742.8333333333334,329.3930817610062,16.101590905868083,12.609698785433144,927.5295857988166,268.1272189349113,19.060872225118946,11.300448274994448,807.6547619047619,238.0178571428571,15.745802669986503,13.671849601296694,1296.0714285714287,158.97826086956525,14.688154201630116,14.029958642591119,791.5514285714286,147.46000000000004,18.284486874632478,12.314378062993386,725.1695652173913,123.21739130434776,18.993285492658533,15.5497731963851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,30,850.6747572815534,1470.5582524271845,12.325459550803238,10.681910803501818,703.3382352941177,1386.0661764705883,15.384871538595633,11.313418758442838,1035.8641975308642,1357.8827160493827,17.143991948244633,12.04058894385147,636.6901840490798,1339.6472392638036,18.063386412030578,11.560595878323657,72.99659863945578,1339.248299319728,14.771965250228066,12.69901577828669,796.6627906976744,1311.9186046511627,17.961210817441295,12.318628603731643,1338.4810126582279,1263.7088607594937,15.34538867639237,13.188703320374907,480.6156462585034,1250.6632653061224,16.115435372909758,11.697108056787128,854.2676056338029,1206.5211267605634,16.11859932037164,11.236061485719564,1071.8475609756097,1073.5365853658536,16.368660462212098,12.797316020400439,623.6779141104295,986.5920245398773,17.808214133463846,11.75067312824346,836.0538461538462,860.6743589743589,17.847971597377054,14.032715435568567,1099.5819672131147,723.2704918032787,16.11502331366204,14.563615993867309,148.46350364963504,628.0255474452555,14.869254785070519,11.83760879994044,814.4206349206349,589.494708994709,18.776737435921977,12.842126143314184,1068.931623931624,562.0854700854701,19.10548727897316,15.662649316355125,730.7739726027397,514.3721461187215,18.2694549268885,15.341385281263376,930.4850746268656,463.77860696517405,19.336033468010502,13.25887133708584,782.0828571428572,447.4114285714286,32.33257554685644,14.116780119977538,327.6747572815534,380.71359223300965,16.988064059108023,15.53363729616537,911.0187165775401,375.18983957219257,19.43787378335276,12.281183758846517,622.5444444444445,370.9944444444445,17.11859785762228,13.49853316151297,607.9411764705883,364.86134453781506,21.146237339463017,14.412986570030625,741.6454545454545,353.63333333333344,17.399800273263978,12.13833370461267,929.4306358381502,309.58670520231203,19.928953892281225,11.142959277279523,802.7875,265.8812499999999,15.910224347212118,12.888624295144046,1300.225888324873,184.6218274111675,18.351381589680955,13.7024330263018,788.6047120418848,181.33246073298437,16.946600715664644,14.449033439474874,719.8920454545455,147.58522727272725,18.024012926659292,12.446814096792568,795.8144329896908,21.628865979381544,17.76972949283685,14.089458199705435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,31,849.0353535353536,1485.3080808080808,12.249253591774389,10.433676838992643,902.3440366972477,1481.3440366972477,13.93701222958721,9.957230642565364,703.26,1415.076,15.597884085923203,10.236210042887135,1038.7534246575342,1390.0342465753424,15.240996041299264,12.254490557532964,634.5,1374.8776223776224,16.98286579229346,10.765783274850387,64.67647058823529,1367.5955882352941,13.55353437005079,12.825005724123343,795.7146892655368,1348.0819209039548,17.80233853567871,12.74501048441052,1340.030864197531,1288.0432098765432,15.720985310557957,13.45924161324272,480.8647798742138,1284.7264150943397,16.081300221136793,12.668080699991675,856.0511811023622,1227.4370078740158,14.312256888661413,11.396865718760345,1071.3971428571429,1109.1399999999999,18.283664684694923,12.27548733741795,617.0314285714286,1022.4542857142858,19.02436966368157,11.783334639486542,834.4154228855722,886.4452736318408,17.53994368709686,14.701302722630526,1097.0411764705882,749.6941176470589,15.927766697733064,13.628032588896971,145.1783625730994,651.3771929824561,15.374263248218014,14.195125792988831,813.639303482587,631.3557213930349,18.286280407750425,14.062166256487275,1071.9708737864078,595.752427184466,21.363380410588164,12.313465637480324,727.7525252525253,551.1313131313132,16.945181145211485,14.939913163283189,931.1965174129353,504.72388059701495,19.09169776177507,13.449653559753186,779.6994680851063,487.093085106383,34.22273881939768,14.641357026147013,910.6649484536083,416.86082474226805,19.2905065696423,12.835083162717156,316.655,402.9749999999999,17.28514245280557,14.836086087180087,600.795358649789,400.2004219409282,18.066446873079958,16.79523070196121,620.375,395.28977272727275,17.21085937228058,13.066685979141722,740.3350515463917,378.03608247422676,18.662573280694456,13.247627041339024,930.954054054054,350.98108108108113,19.934789433967314,11.862833940440762,798.7541436464088,294.4447513812154,15.93249011771271,14.492959390455553,785.3936170212766,215.07446808510645,18.42752425840357,13.059078186746891,1304.579207920792,211.13366336633658,19.500750423725975,13.238402031487503,714.7196261682243,171.91588785046724,18.112632821685335,15.112688660190368,796.8413173652694,59.35628742514973,16.269539145089585,13.187951080278113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
