FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y,MidPoint_16_x,MidPoint_16_y,MidPoint_17_x,MidPoint_17_y,MidPoint_18_x,MidPoint_18_y,MidPoint_19_x,MidPoint_19_y,MidPoint_20_x,MidPoint_20_y,MidPoint_21_x,MidPoint_21_y,MidPoint_22_x,MidPoint_22_y,MidPoint_23_x,MidPoint_23_y,MidPoint_24_x,MidPoint_24_y,MidPoint_25_x,MidPoint_25_y,MidPoint_26_x,MidPoint_26_y,MidPoint_27_x,MidPoint_27_y,MidPoint_28_x,MidPoint_28_y,MidPoint_29_x,MidPoint_29_y,MidPoint_30_x,MidPoint_30_y,MidPoint_31_x,MidPoint_31_y,MidPoint_32_x,MidPoint_32_y,MidPoint_33_x,MidPoint_33_y,MidPoint_34_x,MidPoint_34_y,MidPoint_35_x,MidPoint_35_y,MidPoint_36_x,MidPoint_36_y,MidPoint_37_x,MidPoint_37_y,MidPoint_38_x,MidPoint_38_y,MidPoint_39_x,MidPoint_39_y,MidPoint_40_x,MidPoint_40_y,MidPoint_41_x,MidPoint_41_y,MidPoint_42_x,MidPoint_42_y,MidPoint_43_x,MidPoint_43_y,MidPoint_44_x,MidPoint_44_y,MidPoint_45_x,MidPoint_45_y,MidPoint_46_x,MidPoint_46_y,MidPoint_47_x,MidPoint_47_y,MidPoint_48_x,MidPoint_48_y,MidPoint_49_x,MidPoint_49_y,MidPoint_50_x,MidPoint_50_y,MidPoint_51_x,MidPoint_51_y,MidPoint_52_x,MidPoint_52_y,MidPoint_53_x,MidPoint_53_y,MidPoint_54_x,MidPoint_54_y,MidPoint_55_x,MidPoint_55_y,MidPoint_56_x,MidPoint_56_y,MidPoint_57_x,MidPoint_57_y,MidPoint_58_x,MidPoint_58_y,MidPoint_59_x,MidPoint_59_y,MidPoint_60_x,MidPoint_60_y,MidPoint_61_x,MidPoint_61_y,MidPoint_62_x,MidPoint_62_y,MidPoint_63_x,MidPoint_63_y,MidPoint_64_x,MidPoint_64_y,MidPoint_65_x,MidPoint_65_y,MidPoint_66_x,MidPoint_66_y,MidPoint_67_x,MidPoint_67_y,MidPoint_68_x,MidPoint_68_y,MidPoint_69_x,MidPoint_69_y,MidPoint_70_x,MidPoint_70_y,MidPoint_71_x,MidPoint_71_y,MidPoint_72_x,MidPoint_72_y,MidPoint_73_x,MidPoint_73_y
1,71,216.4323076923077,1267.3984615384616,2261.9839650145773,1254.0626822157435,1802.5595611285266,1229.9514106583072,53.11383285302594,1225.306916426513,1770.3757763975154,1219.5093167701864,1582.3695652173913,1214.444099378882,182.57692307692307,1187.5892307692307,1605.7529411764706,1171.0823529411764,1430.075,1170.765625,501.019877675841,1159.5336391437309,1066.5371517027863,1132.6238390092878,1688.724924012158,1118.7522796352584,2280.392655367232,1075.0169491525423,1943.3103975535169,1070.5550458715597,2254.625,1035.3806818181818,1175.0608308605342,1028.713649851632,1136.3048780487804,1004.609756097561,1090.6711711711712,980.5750750750751,478.20061728395063,970.2993827160494,1819.3994082840236,955.4526627218935,384.03550295857985,933.6656804733727,1643.4026548672566,911.7743362831859,1181.2530120481927,889.8102409638554,1088.931884057971,870.963768115942,1158.2478260869566,868.0826086956522,890.360119047619,860.4821428571429,335.3510948905109,845.9160583941606,1434.0508982035929,824.320359281437,328.87426900584796,816.5730994152048,1743.8042253521128,767.7901408450704,1961.2406340057637,765.9956772334294,759.2889908256881,758.3073394495412,1023.9891640866872,733.7136222910217,1154.448012232416,712.5917431192661,1861.0587188612099,669.9377224199288,149.8127413127413,655.9324324324324,1072.8899082568807,604.4174311926605,1025.3755760368663,582.5184331797235,1438.485576923077,558.2884615384615,1209.3230088495575,555.6681415929204,1633.4254385964912,527.,1033.5136363636364,504.8045454545454,348.50444444444446,493.71777777777777,2217.314393939394,473.4810606060606,1502.3050847457628,472.12711864406776,706.9823008849557,470.23451327433634,1870.8419913419914,408.0887445887446,183.7563025210084,392.4201680672269,378.03719008264466,338.5165289256198,1011.7238095238096,284.40952380952376,962.162100456621,281.2442922374429,1983.707843137255,279.89607843137253,1944.66,250.24399999999991,1752.6554621848738,241.09663865546213,2099.0402298850577,234.04406130268194,1009.504854368932,225.12621359223294,1433.5632911392406,209.03586497890296,1492.6822429906542,183.5,1824.9959016393443,180.82377049180332,1754.866935483871,144.03629032258073,481.26326530612243,126.15714285714284,1090.1320346320347,122.68181818181824,1200.4439655172414,112.31034482758628,1025.2688679245282,100.16981132075466,662.8246753246754,87.56926406926414,2094.4315589353614,84.89163498098856,956.432735426009,79.93049327354265,265.8307392996109,57.92801556420227,851.8053097345132,44.21681415929197,1092.2191489361703,33.014893617021244,745.7731277533039,9.896475770925008,NaN,NaN,NaN,NaN
2,73,2259.753644314869,1288.1297376093294,1802.2376543209878,1265.2376543209878,54.80523255813954,1260.1744186046512,1769.6486068111456,1254.4473684210527,1582.5155763239875,1250.7679127725858,183.8222891566265,1222.7530120481929,1605.970238095238,1207.8363095238096,1433.039184952978,1206.998432601881,502.46894409937886,1196.2670807453417,1069.4127725856697,1168.6090342679126,1689.171826625387,1155.0479876160991,2279.076271186441,1111.4180790960452,1942.4878048780488,1107.1189024390244,2253.1428571428573,1071.5285714285715,1178.3168168168168,1065.7462462462463,1143.5856269113149,1040.111620795107,1096.1526946107786,1018.3443113772455,479.2361963190184,1007.1993865030674,1819.3163265306123,993.2026239067055,383.52949852507373,972.169616519174,1644.7441176470588,949.8382352941176,1185.3018292682927,924.7713414634146,1093.6529411764707,907.885294117647,1162.085507246377,907.531884057971,893.9398826979473,893.9134897360705,334.5923520923521,883.8217893217893,1441.131736526946,856.754491017964,328.89181286549706,854.5175438596491,1744.7735042735044,805.9358974358975,1961.7151162790697,804.6860465116279,764.4756097560976,796.8353658536585,1030.1617647058824,771.2294117647059,1158.874251497006,750.6616766467066,1862.3456790123457,707.6388888888889,149.6764705882353,693.4901960784314,1077.990990990991,642.5045045045046,1031.0753424657535,620.5958904109589,1440.1682692307693,600.625,1213.5218340611355,593.7663755458515,1635.0377777777778,564.9622222222222,1038.9666666666667,542.5177777777777,347.9594594594595,531.918918918919,2218.125468164794,511.45131086142317,711.7133333333334,509.9,1504.386075949367,510.19620253164555,1871.5340425531915,446.5042553191489,179.42436974789916,436.6680672268908,376.7204081632653,375.94489795918366,1016.9951923076923,322.2932692307693,968.8693693693693,319.3378378378378,1985.9517374517375,317.1177606177606,1944.7777777777778,287.8571428571429,1757.2142857142858,279.78151260504205,2100.126923076923,271.823076923077,1015.0873786407767,263.1504854368932,1434.4871794871794,245.,1494.433962264151,221.29245283018872,1825.69341563786,219.51646090534973,1756.389344262295,181.07377049180332,481.08870967741933,164.4395161290322,1095.1410256410256,160.23076923076928,1204.5928270042193,149.6814345991561,1029.773148148148,137.27314814814804,666.9163090128756,124.5557939914163,2095.305970149254,123.53731343283584,961.7232142857143,116.73660714285711,264.7265625,94.97265625,857.0555555555555,83.2066666666667,1095.7738589211617,70.914937759336,752.264192139738,47.81004366812226,1642.644,43.715999999999894,1124.7,34.450000000000045,804.2284482758621,18.83620689655163
3,71,1582.620253164557,1287.110759493671,185.25617283950618,1257.5586419753085,1606.1017964071857,1244.317365269461,1435.8814102564102,1243.1858974358975,504.125386996904,1232.9705882352941,1072.478125,1204.3,1689.3302469135801,1191.070987654321,2277.7428571428572,1147.66,1941.7151515151515,1143.4242424242425,2251.9080459770116,1107.6609195402298,1181.433734939759,1102.894578313253,1150.896923076923,1075.4476923076923,1101.5878787878787,1055.6818181818182,480.3459214501511,1043.844410876133,1819.2692307692307,1030.7958579881656,383.05357142857144,1010.2172619047619,1645.9,987.9029411764706,1189.415915915916,959.427927927928,1165.9186046511627,946.8982558139535,1098.3798798798798,944.9954954954956,897.4495548961424,927.1913946587538,334.05924855491327,921.4913294797689,329.0275362318841,891.9724637681159,1448.1144578313254,889.0692771084337,1745.8132183908046,844.1264367816092,1962.111111111111,843.4035087719299,769.6331269349845,835.4504643962848,1036.2957957957958,808.3798798798798,1163.131884057971,788.2362318840579,1863.433734939759,745.5572289156627,149.51863354037266,730.944099378882,1083.2472527472528,681.0018315018315,1036.5982905982905,658.8675213675214,1441.6792452830189,643.372641509434,1217.866972477064,632.1330275229358,1636.6057268722468,603.0198237885462,1044.4773755656108,580.1515837104073,347.5358744394619,570.0829596412556,2218.9742647058824,549.5036764705883,716.6076233183857,549.670403587444,1506.4240506329113,548.1455696202531,1872.1478260869565,484.7478260869565,175.22995780590716,480.86708860759495,375.3577405857741,413.47907949790795,1022.2281553398059,360.31067961165047,975.8590909090909,357.3227272727273,1988.1640926640928,354.58880308880305,1944.634693877551,325.4591836734694,1761.435064935065,318.6125541125541,2101.1742424242425,309.56818181818187,1020.805,301.56500000000005,1435.3828451882846,280.9142259414226,1496.048076923077,259.0192307692307,1826.3691983122362,258.20886075949375,1757.8565573770493,218.01639344262298,480.7090163934426,202.9180327868853,1100.1406926406926,197.58658008658017,1209.0811965811965,187.35042735042725,1034.2342995169083,174.55797101449275,2096.1075471698114,162.11132075471687,670.9170212765957,161.5595744680852,967.3423423423424,153.6801801801803,263.43700787401576,132.03937007874015,862.2354260089686,122.31614349775782,1099.5641025641025,108.87179487179492,758.5088105726873,86.0330396475772,1644.2670682730923,81.4196787148594,1128.9579831932774,73.06722689075627,809.8157894736842,52.8552631578948,542.4919028340081,34.289473684210634,978.4439655172414,25.116379310344882,NaN,NaN,NaN,NaN
4,72,1606.3,1280.5984615384616,1438.7236842105262,1278.8486842105262,505.8118971061093,1269.3327974276526,1075.522653721683,1239.7135922330096,1689.4483870967742,1226.8,2276.164705882353,1183.5235294117647,1940.9043887147336,1179.512539184953,2250.266272189349,1143.5384615384614,1184.6055900621118,1139.7298136645963,1158.265273311897,1110.4389067524116,1107.130094043887,1093.1583072100314,481.52492211838006,1080.3878504672898,1818.948795180723,1068.1807228915663,382.50307692307695,1048.2876923076924,1647.1424242424243,1025.669696969697,1193.3726708074535,994.2173913043478,1169.7447129909365,985.8897280966767,1102.9723926380368,981.8865030674847,901.0227963525836,960.1899696048632,333.52373887240356,959.0148367952522,329.3686567164179,929.631343283582,1455.3654434250764,921.4571865443424,1746.8284457478005,882.1217008797654,1962.5356083086053,881.9183976261128,774.8279742765274,873.6575562700964,1042.5396341463415,845.7103658536585,1167.5419161676646,826.0209580838323,1864.5207100591715,782.9437869822485,149.62765957446808,768.6489361702128,1088.384012539185,718.7131661442006,1042.1338983050848,696.8762711864407,1443.1877323420074,686.1096654275093,1222.2283950617284,670.7181069958848,1638.331818181818,641.0636363636364,1049.923076923077,617.9375,347.11538461538464,608.1394230769231,721.5434782608696,589.1859903381643,2219.9163424124513,587.5933852140078,1508.4318181818182,586.1727272727272,170.6324200913242,525.1575342465753,1872.8271028037384,523.0233644859813,373.8612334801762,450.8700440528635,1027.526455026455,398.28306878306876,982.8251231527094,395.3916256157636,1990.29012345679,391.9115226337449,1944.6716738197424,363.37982832618025,1765.6898148148148,357.29166666666663,2102.090909090909,347.2479338842975,1026.4619565217392,339.7880434782609,1435.9859813084113,316.9392523364486,1826.7941176470588,296.9841628959276,1497.6589743589743,297.0692307692308,1759.4780701754387,255.0219298245613,480.6409691629956,241.45594713656396,1105.0747663551401,235.08411214953276,1213.4330357142858,224.69642857142867,1038.7978723404256,211.75531914893622,2096.7709163346613,200.87051792828674,675.1547085201794,198.64798206278033,972.7857142857143,190.58374384236458,262.3577235772358,169.39024390243912,867.5047393364929,161.51421800947878,1103.4398148148148,146.83333333333326,765.0291262135922,124.10679611650494,1645.8318965517242,119.5,1133.2808219178082,111.60958904109589,815.9075829383886,87.05450236966817,544.1909871244635,72.25107296137344,983.3372093023256,62.309302325581484,226.56639004149378,43.37551867219918,1968.5468085106384,43.00638297872342,1399.8333333333333,40.63333333333344,NaN,NaN
5,70,1078.5,1275.0193548387097,1689.67868338558,1262.3996865203762,2274.6524926686216,1219.3357771260996,1940.028125,1215.521875,2248.6529411764704,1179.1588235294118,1187.68125,1176.371875,1165.4591194968552,1145.367924528302,1112.5031347962383,1130.2241379310344,482.80625,1116.60625,1818.5878787878787,1105.5757575757575,382.29816513761466,1086.2737003058105,1648.1918429003022,1063.415407854985,1197.4378881987577,1028.6863354037268,1173.617824773414,1025.0105740181268,1107.6467889908256,1018.5428134556576,333.1740412979351,996.4808259587021,904.6580547112462,993.1413373860182,329.6475903614458,967.1415662650602,1462.248447204969,953.5776397515529,1747.6565217391305,919.9985507246377,1962.6721068249258,920.339762611276,780.1867088607595,911.993670886076,1048.6987767584098,882.7721712538226,1171.9601769911505,863.933628318584,1865.5714285714287,820.6011904761905,149.6234939759036,806.2439759036145,1093.6024844720496,756.7142857142857,1047.8396825396826,734.3380952380952,1444.595238095238,728.2269841269841,1226.6050955414012,708.828025477707,1639.9411764705883,679.3970588235294,1055.308888888889,655.8511111111111,346.5735930735931,646.5995670995671,726.2358490566038,628.9905660377359,2220.748120300752,625.7067669172932,1510.5305676855896,624.3471615720524,166.23394495412845,569.6605504587156,1873.5633484162895,561.3868778280543,372.42825112107624,488.45964125560533,1032.7864583333333,436.328125,989.5095238095238,433.56190476190477,1992.719512195122,429.44715447154476,1944.8193277310925,401.1260504201681,1770.335616438356,395.96118721461187,2103.30737704918,385.1680327868852,1031.9526315789474,378.2263157894737,1436.8783783783783,352.90090090090087,1827.5088495575221,335.858407079646,1499.2268041237114,334.74742268041234,1761.0344827586207,292.15517241379314,480.51724137931035,280.01724137931035,1110.0787037037037,272.7638888888889,1217.9454545454546,262.27272727272725,1043.2315789473685,249.21578947368425,2097.5916334661356,239.56772908366543,679.3161434977578,236.21300448430497,978.1201923076923,227.7211538461538,261.33870967741933,206.7782258064517,872.9238095238095,200.92857142857133,1107.2201834862385,185.2293577981652,771.6822429906542,162.57476635514013,1647.6068376068376,157.23931623931617,1137.4778761061948,150.4778761061948,821.7558139534884,121.06279069767447,545.9067796610169,110.10593220338978,988.2488584474886,99.63698630136992,224.95381526104418,80.76506024096375,1969.7627118644068,81.6186440677966,1401.174107142857,78.66964285714289,920.8504672897196,9.271028037383076,NaN,NaN,NaN,NaN,NaN,NaN
6,71,2273.0380116959063,1254.877192982456,1939.0859872611466,1251.0445859872611,2246.8959537572255,1214.5520231213873,1190.8536585365853,1212.7073170731708,1172.6540880503144,1180.1289308176101,1117.7444444444445,1167.1190476190477,484.17192429022083,1152.8943217665615,1818.3532934131736,1142.6616766467066,382.07611940298506,1123.9985074626866,1649.3018018018017,1100.8543543543544,1177.503003003003,1063.7762762762763,1201.5492307692307,1063.0169230769231,1112.466463414634,1055.341463414634,333.0473372781065,1033.655325443787,908.490990990991,1026.0585585585586,330.26785714285717,1004.4077380952381,1469.3689024390244,985.5365853658536,1962.9277286135693,958.6563421828909,1748.452522255193,957.8323442136498,785.4907407407408,949.8734567901234,1054.8253731343284,919.720895522388,1176.4080118694362,901.4554896142433,1866.6026392961876,857.9868035190616,149.93620178041542,843.7225519287833,1098.8292682926829,794.4329268292684,1053.596096096096,772.4459459459459,1446.1876790830945,770.3968481375358,1230.9417910447762,746.8940298507463,1641.44952681388,717.0047318611987,1060.804347826087,693.6672240802676,346.32394366197184,684.9859154929577,731.1070038910506,669.0953307392996,2221.3801369863013,663.5753424657535,1512.5198412698412,662.5357142857143,161.7,613.8782608695652,1874.4598214285713,600.0267857142857,370.9342105263158,526.0175438596491,1037.9825870646766,474.3407960199005,996.3657407407408,471.4861111111111,1995.1837944664032,466.83201581027663,1945.0578512396694,438.7314049586777,1774.8362831858408,434.6283185840708,2104.3656126482215,422.9387351778656,1037.4187817258883,416.31218274111677,1437.5086956521739,388.85217391304343,1828.301724137931,374.47413793103453,1501.01,372.69500000000005,1762.6016949152543,329.08898305084745,480.15811965811963,318.3119658119658,1115.059633027523,310.1559633027523,1222.4429824561403,299.75438596491233,1047.902985074627,286.33084577114425,2098.464705882353,278.056862745098,683.5,273.4466666666667,983.6267605633802,264.70187793427226,260.1215139442231,243.91832669322707,878.1822429906542,240.09345794392516,1110.947004608295,223.07603686635935,778.1451612903226,200.92396313364065,1649.3333333333333,195.1541666666667,1141.7511013215858,189.27533039647574,827.7146118721461,155.23972602739718,547.7833333333333,148.23749999999995,993.1814159292036,136.68584070796464,1970.9979591836734,120.01428571428573,223.26494023904382,118.25298804780869,1402.4955947136564,116.73348017621151,925.8257918552036,45.332579185520444,1108.614406779661,44.60169491525426,887.614537444934,31.29735682819387,615.5641025641025,30.517094017093996,NaN,NaN,NaN,NaN
7,73,1937.9099378881988,1286.5776397515529,2245.0913043478263,1249.7260869565218,1193.8765432098764,1248.9012345679012,1179.9620253164558,1214.5791139240507,1123.3993710691823,1203.8899371069183,485.5776397515528,1188.8167701863354,1817.7740963855422,1179.4126506024097,381.89820359281435,1161.2934131736527,1650.421921921922,1138.2597597597598,1181.490990990991,1102.496996996997,1205.5489296636085,1097.1207951070337,1116.9864864864865,1091.56006006006,322.0601173020528,1071.8137829912023,343.21091445427726,1069.6002949852507,912.0545722713864,1058.6356932153392,330.8934911242604,1041.4644970414201,1476.1544342507646,1017.3562691131499,1962.9970588235294,996.8147058823529,1749.2055393586006,995.2900874635568,790.6574074074074,987.7283950617284,1061.1534954407296,956.6367781155016,1180.7222222222222,938.8421052631579,1867.5205278592375,895.2741935483871,150.32142857142858,881.1577380952381,1104.1030303030302,832.0969696969697,1447.622807017544,812.6081871345029,1059.4667673716012,810.095166163142,1235.329479768786,784.6531791907514,1643.0281899109793,754.9955489614243,1066.4235474006116,730.5886850152905,346.12025316455697,722.7848101265823,736.0213414634146,708.5396341463414,2222.010835913313,701.4380804953561,1514.5714285714287,700.3819875776397,157.63636363636363,658.4166666666666,1875.0439330543934,638.4748953974895,369.5762711864407,563.6271186440678,1043.1635071090047,512.5,1003.1981981981982,509.47747747747746,1997.708661417323,504.1614173228346,1945.2366255144034,476.53703703703707,1779.2835497835497,473.43506493506493,2105.575098814229,460.8596837944664,1042.8694581280788,454.75123152709364,1438.3958333333333,424.8666666666667,1829.0756302521008,413.3277310924369,1502.7428571428572,410.43809523809523,1764.5084388185653,365.96413502109704,479.7827868852459,356.80737704918033,1120.0324675324675,347.51731601731603,1226.6737288135594,337.2881355932203,1052.121359223301,323.71359223300976,2099.3984375,316.52734375,687.482683982684,310.48701298701303,989.018691588785,301.6214953271028,259.03515625,281.14453125,883.509009009009,279.3558558558559,1114.7577777777778,261.11777777777775,784.5407239819004,239.0656108597284,1651.078313253012,233.02208835341366,1146.304255319149,227.98510638297876,833.5044642857143,189.41071428571422,549.5928270042194,186.17088607594928,998.0475113122172,174.2239819004526,1972.1188524590164,158.4344262295083,221.53225806451613,155.53629032258073,1403.6904761904761,154.6645021645022,1112.7231759656652,82.5,931.2013574660633,81.51809954751138,893.4742489270386,68.87768240343348,619.6833333333333,68.13750000000005,1231.3319327731092,44.60924369747909,2153.877697841727,36.70503597122297
8,72,2243.1326530612246,1284.706997084548,1197.1175548589342,1284.7100313479623,1187.2101910828026,1248.7675159235669,1128.7080745341616,1240.4037267080746,487.06112852664575,1224.6128526645768,1817.379518072289,1215.9759036144578,381.9580838323353,1198.6017964071857,1651.4057750759878,1175.3480243161093,1185.370870870871,1140.7702702702702,1209.5395136778116,1130.9407294832827,1121.6,1127.6060606060605,321.7492581602374,1108.8442136498516,343.5087463556851,1106.0539358600583,915.7628398791541,1091.107250755287,331.5327380952381,1078.5863095238096,1483.0243902439024,1048.875,1963.264705882353,1034.6588235294118,1750.041547277937,1032.7836676217764,796.0856697819314,1025.3816199376947,1067.3224852071005,993.2573964497042,1185.1011560693642,976.0231213872833,1868.3630952380952,932.4732142857142,150.73893805309734,918.334808259587,1109.4464285714287,869.6369047619048,1449.0603448275863,854.8275862068965,1065.1824925816024,847.5326409495549,1239.8151862464183,822.5372492836676,1644.5959302325582,792.3052325581396,1071.9896755162242,768.1047197640117,346.04103343465044,760.7006079027356,741.0515151515151,748.1060606060606,2222.545045045045,739.0975975975975,1516.5654761904761,738.0595238095239,153.4937888198758,702.6086956521739,1875.7283737024222,676.9602076124568,368.3595744680851,601.1851063829787,1048.4103773584907,550.5141509433962,1010.1846846846847,547.6756756756756,2000.1782945736434,541.5581395348837,1945.3189300411523,514.2407407407408,1783.6330472103004,511.97210300429185,2106.592664092664,498.550193050193,1048.451690821256,492.8188405797101,1439.1541666666667,460.89166666666665,1829.5669456066946,452.0774058577406,1504.3779342723005,448.29812206572774,1766.0432098765432,402.9279835390946,479.42116182572613,395.07261410788385,1125.14192139738,384.8711790393013,1231.2682403433475,374.54721030042913,1056.5236966824646,360.97393364928905,2100.181818181818,355.1363636363636,691.5472103004291,347.69313304721027,994.4124423963134,338.6797235023041,257.7950191570881,318.3275862068965,888.8918918918919,318.47747747747746,1118.6484716157206,298.8056768558952,791.0739910313902,277.4461883408072,1652.944,270.86799999999994,1150.4747899159663,266.6512605042017,551.2676348547718,224.085062240664,839.3370044052864,223.31497797356838,1002.853711790393,211.39956331877738,1973.5443548387098,196.82258064516122,219.496,192.8320000000001,1405.3553191489361,192.7851063829787,1116.9243697478992,120.36134453781506,936.3571428571429,117.53571428571422,899.3484848484849,106.71645021645031,623.5836820083682,105.73430962343105,1233.8934426229507,82.03688524590166,2156.5602836879434,72.56737588652481,NaN,NaN
9,70,1194.3525641025642,1282.9038461538462,1134.1592356687897,1276.5732484076434,488.60932475884243,1259.9823151125402,1816.7615384615385,1252.4384615384615,381.9123076923077,1235.5553846153846,1652.343076923077,1212.1184615384616,1189.155487804878,1178.939024390244,1213.572327044025,1164.7327044025158,1126.3229813664595,1163.583850931677,321.5060606060606,1145.7454545454545,343.60179640718565,1142.4221556886228,919.5,1123.4388379204893,332.39123867069486,1115.52416918429,1489.71875,1080.396875,1963.0969696969696,1072.3818181818183,1750.6823529411765,1069.9411764705883,801.4621451104101,1062.9321766561513,1073.448328267477,1029.5030395136778,1189.5359281437127,1013.3323353293413,1869.2319277108434,969.5120481927711,151.3622754491018,955.2934131736527,1114.5785498489427,907.095166163142,1450.505934718101,896.8264094955489,1070.9260355029585,885.0207100591716,1244.1434782608696,860.1289855072464,1646.044642857143,829.9136904761905,1077.4909365558913,805.4969788519638,345.8888888888889,798.8148148148148,746.034743202417,787.3700906344411,2222.9914772727275,776.65625,1518.6695402298851,775.9942528735633,149.446587537092,746.9035608308606,1876.3051118210863,714.9281150159744,367.1818181818182,638.8347107438017,1053.8316326530612,588.780612244898,1017.0094339622641,585.8820754716982,2002.3821138211383,578.8983739837398,1945.405982905983,551.8888888888889,1788.0135135135135,550.6621621621622,2107.5205761316874,536.4341563786008,1054.03807106599,531.1903553299493,1439.8244444444445,496.86888888888893,1830.348888888889,490.76666666666665,1506.0074626865671,486.20149253731347,1767.5391304347827,439.86956521739125,479.2991266375546,433.62663755458516,1130.0045045045044,422.4144144144144,1235.6902654867256,412.13716814159295,1061.0656565656566,398.2222222222222,2101.0573122529645,393.6897233201581,695.6140350877193,384.91666666666663,999.9545454545455,375.7870813397129,894.2920792079208,357.8564356435644,256.8130081300813,355.6056910569106,1122.5357142857142,337.00446428571433,797.3904761904762,315.8047619047619,1654.692468619247,308.6087866108786,1154.603448275862,305.4224137931035,552.8333333333334,262.0151515151515,845.0925925925926,257.62037037037044,1007.7476635514018,248.56542056074773,1974.7372881355932,235.14406779661022,217.64754098360655,230.0655737704917,1406.837837837838,230.7117117117118,1121.0770925110132,158.0022026431718,941.463133640553,153.81797235023032,905.2410714285714,144.62053571428578,627.4399141630902,143.2896995708154,1236.591304347826,119.47826086956525,2159.196296296296,108.22222222222217,NaN,NaN,NaN,NaN,NaN,NaN
10,70,1816.2798742138364,1288.5754716981132,382.1261682242991,1272.468847352025,1653.2523510971787,1248.8103448275863,1192.8949843260189,1216.973354231975,1130.9662379421222,1199.4774919614147,1217.6089743589744,1198.2435897435898,321.4230769230769,1182.5492307692307,343.9592145015106,1178.4939577039274,923.34,1155.5246153846153,333.34615384615387,1152.0938461538462,1496.440625,1111.640625,1963.0938461538462,1110.1092307692309,1751.4121212121213,1107.1969696969697,806.8562091503268,1100.2418300653594,1079.631498470948,1065.8669724770643,1193.880664652568,1050.1646525679757,1870.0253731343284,1006.3119402985075,151.95619335347433,992.2764350453172,1119.7,944.3738461538462,1451.7767857142858,938.7380952380952,1076.59726443769,922.3996960486322,1248.4824046920821,897.9134897360705,1647.388888888889,867.4399399399399,1083.1018237082067,842.7522796352583,346.1056782334385,836.5315457413249,751.0424242424242,826.9060606060606,1520.4825581395348,813.6337209302326,2223.2703488372094,814.1627906976744,145.54985337243403,790.9076246334312,1876.8076923076924,753.3215384615385,366.01824817518246,676.5656934306569,1059.0675675675675,627.0027027027027,1023.990291262136,624.0097087378641,2004.639344262295,616.438524590164,1945.4301310043668,589.5698689956332,1792.3317757009345,589.1915887850467,2108.491701244813,574.3672199170124,1059.642857142857,569.4065934065934,1440.7009132420092,533.0753424657535,1830.9125560538116,529.6210762331839,1507.5648648648648,524.1216216216217,1769.2477477477478,476.8828828828829,479.0138888888889,472.2175925925926,1135.0707547169811,459.9292452830189,1240.1728110599079,449.88709677419354,1065.5978260869565,435.5978260869565,2101.7995951417006,432.13562753036433,699.7616822429907,422.1775700934579,1005.2664974619289,412.68274111675123,899.759067357513,397.1476683937824,255.7731092436975,393.0588235294117,1126.4142857142858,375.06190476190477,804.0897435897435,354.3051282051282,1656.4823788546255,346.6806167400881,1158.9398148148148,344.27314814814815,554.7009132420092,300.20319634703196,851.,292.,1012.9009661835748,286.0314009661836,1976.0545851528384,273.4650655021835,1408.4398148148148,268.7777777777778,215.9145299145299,267.5598290598291,1125.1495327102805,195.9299065420562,946.4853658536585,189.9585365853659,910.9903846153846,182.5144230769231,631.4103139013453,180.93946188340806,1239.3119266055046,156.84862385321094,2161.9163424124513,143.92801556420227,841.4911111111111,30.51333333333332,971.6534883720931,15.848837209302246,514.9316239316239,9.521367521367438,NaN,NaN,NaN,NaN,NaN,NaN
