FrameNr,NumberMidPoints,MidPointX_1,MidPointY_1,Length_1,Width_1,MidPointX_2,MidPointY_2,Length_2,Width_2,MidPointX_3,MidPointY_3,Length_3,Width_3,MidPointX_4,MidPointY_4,Length_4,Width_4,MidPointX_5,MidPointY_5,Length_5,Width_5,MidPointX_6,MidPointY_6,Length_6,Width_6,MidPointX_7,MidPointY_7,Length_7,Width_7,MidPointX_8,MidPointY_8,Length_8,Width_8,MidPointX_9,MidPointY_9,Length_9,Width_9,MidPointX_10,MidPointY_10,Length_10,Width_10,MidPointX_11,MidPointY_11,Length_11,Width_11,MidPointX_12,MidPointY_12,Length_12,Width_12,MidPointX_13,MidPointY_13,Length_13,Width_13,MidPointX_14,MidPointY_14,Length_14,Width_14,MidPointX_15,MidPointY_15,Length_15,Width_15,MidPointX_16,MidPointY_16,Length_16,Width_16,MidPointX_17,MidPointY_17,Length_17,Width_17,MidPointX_18,MidPointY_18,Length_18,Width_18,MidPointX_19,MidPointY_19,Length_19,Width_19
1,8,1163.2614379084966,1379.7254901960785,20.09496733535314,19.430053734357525,1145.0732484076434,1236.6528662420383,20.550210156278325,19.530308484865625,1127.7809667673716,1214.6268882175227,21.115887547809052,19.983538434906514,1164.5357142857142,1196.6011904761904,21.559710990733535,19.884053259187002,903.5617647058823,883.9235294117647,21.129454737245446,20.519798455780865,1244.4886685552408,581.4631728045326,21.557832174649388,20.865300465570716,1022.9109195402299,134.6810344827586,21.847506938697077,20.312799221453723,912.4320113314448,122.87960339943334,21.666781979454033,20.768545749378042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,8,1162.9612794612794,1417.9343434343434,19.87501360475578,19.120439583738364,1145.453125,1277.446875,20.991313097354197,19.410936658205,1127.2963525835867,1254.740121580547,21.110899676565264,19.888191902007662,1164.1371681415928,1236.7153392330383,21.297702229456885,20.279078100111477,902.3530259365995,924.4048991354467,21.510636958014302,20.585546018688596,1244.0225988700565,622.6638418079096,21.76217322038206,20.73299652304645,1021.9330484330484,175.7706552706552,21.864037116894885,20.468080383066038,911.0451977401129,163.9463276836159,21.80574198318927,20.696387226524113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,8,1162.7897526501768,1456.030035335689,19.30532740012749,18.72951283392599,1145.6157556270095,1317.815112540193,20.294105269329776,19.569125388589516,1126.712765957447,1294.5273556231002,21.08647092623895,19.904899097084773,1163.7590361445782,1276.686746987952,21.32272269857148,19.852444400796756,901.3380681818181,964.3892045454545,21.728003989717656,20.646498053641338,1243.5786516853932,663.8033707865169,21.734170481798902,20.88890733264739,1020.875,216.94318181818176,21.911357825960557,20.477256116419262,909.8483146067416,205.03651685393265,21.75481449916606,20.874190607241687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,7,1145.8311475409837,1357.972131147541,20.224927891736897,19.247612106604056,1126.1466876971608,1334.2413249211356,20.46711778718512,19.772464364766734,1163.35,1316.29375,20.73386060293234,19.696862681609232,900.3579881656805,1004.4437869822485,21.134297813853898,20.383835852527923,1243.2285714285715,705.02,21.61358205144934,20.645287486374848,1019.7017291066282,258.02161383285306,21.59174415187039,20.524174581068074,908.5056497175141,246.1186440677966,21.669573347752817,20.84135431469507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,7,1146.3252427184466,1398.111650485437,20.356778597489544,19.341778838319115,1125.6901840490798,1373.601226993865,21.13085578601073,19.67361207780851,1162.9220183486239,1355.6804281345567,20.86124103821259,19.97661314856807,899.327380952381,1044.2291666666667,21.1088364328705,20.31783145459206,1242.8595505617977,746.2471910112359,21.878236378290378,20.755507099507888,1018.5198863636364,299.159090909091,21.79860525195908,20.600098746529817,907.125,287.3267045454545,21.60281538896337,20.7867233165141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,7,1146.58,1437.49,19.987386310989486,19.167343455000232,1125.2699680511182,1412.6757188498402,20.42067736578642,19.60782416620392,1162.6698717948718,1394.775641025641,20.280925901031214,19.611130455924098,898.5692771084338,1083.9066265060242,20.97876409181779,20.18619328306942,1242.3260869565217,787.4333333333333,21.258261750582548,20.72163933547016,1017.5116959064327,340.52631578947376,21.457788785436758,20.360358136494565,905.7959770114943,328.45114942528744,21.34229006454437,20.795339497732552,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,7,1146.9295081967214,1476.972131147541,20.496134529975585,18.97677992698277,1124.7264150943397,1451.3238993710693,20.630607948129885,19.686344965610633,1162.3416149068323,1433.527950310559,20.83016212715646,19.69143429606004,897.6242603550296,1123.4260355029587,21.191769083474714,20.341327568828955,1241.9985673352435,828.6862464183381,21.698598892552567,20.492706340529317,1016.4065155807366,381.6246458923513,21.756556226123763,20.7083578339242,904.6011235955057,369.71348314606735,21.663930561194768,20.939327911361765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,6,1161.94089456869,1471.8929712460065,20.114703991465788,19.856105785036085,896.7887537993921,1162.645896656535,21.05056032835041,19.931536461260787,1241.6061946902655,869.5766961651917,21.20313280209821,20.401698500807445,1015.25,422.7063953488373,21.430083476654083,20.474605549973678,903.3023255813954,410.7122093023256,21.061711774838066,20.850251516422336,859.963976945245,20.67291066282428,21.556570214751165,20.522347172441957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,5,896.0443786982248,1201.8727810650887,21.28507386196503,20.23540789601076,1241.1759776536312,911.0502793296089,22.131127832725667,20.60756307597672,1014.3033707865169,463.8623595505619,21.77436147607562,20.87443345598764,902.0926966292135,452.10112359550567,21.93247367620199,20.706951964185702,858.1298342541437,61.665745856353624,22.429439953972217,20.560406182966457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,6,895.444099378882,1240.8260869565217,20.686565046666658,19.854856493199865,1240.9342857142858,952.1971428571428,21.82141522029531,20.424719942320813,1013.2238372093024,505.2063953488372,21.437920340183187,20.456471372850448,900.9529914529915,493.30911680911686,21.62633751679724,20.676920426518194,856.2413793103449,102.66091954023,21.595152160138213,20.5382594063261,1103.0464788732395,33.477464788732505,22.18112614436323,20.38226295498668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
