FrameNr,NumberMidPoints,MidPointX_1,MidPointY_1,Length_1,Width_1,MidPointX_2,MidPointY_2,Length_2,Width_2,MidPointX_3,MidPointY_3,Length_3,Width_3,MidPointX_4,MidPointY_4,Length_4,Width_4,MidPointX_5,MidPointY_5,Length_5,Width_5,MidPointX_6,MidPointY_6,Length_6,Width_6,MidPointX_7,MidPointY_7,Length_7,Width_7,MidPointX_8,MidPointY_8,Length_8,Width_8,MidPointX_9,MidPointY_9,Length_9,Width_9,MidPointX_10,MidPointY_10,Length_10,Width_10,MidPointX_11,MidPointY_11,Length_11,Width_11,MidPointX_12,MidPointY_12,Length_12,Width_12,MidPointX_13,MidPointY_13,Length_13,Width_13,MidPointX_14,MidPointY_14,Length_14,Width_14,MidPointX_15,MidPointY_15,Length_15,Width_15,MidPointX_16,MidPointY_16,Length_16,Width_16,MidPointX_17,MidPointY_17,Length_17,Width_17,MidPointX_18,MidPointY_18,Length_18,Width_18,MidPointX_19,MidPointY_19,Length_19,Width_19,MidPointX_20,MidPointY_20,Length_20,Width_20
1,18,849.8342391304348,1444.0951086956522,23.129732929174423,20.293407838384592,876.9509283819629,1425.8129973474802,23.56916050498339,20.391202370684507,956.0495978552278,1424.0469168900804,23.34015253317787,20.416027429197182,831.2306666666667,1403.2706666666668,23.864079271433194,20.048530444179608,864.3395721925134,1328.3128342245989,23.658281572483755,20.191544022998883,1011.273631840796,806.4825870646766,24.293941241700182,21.10444496620301,857.3833746898263,801.3833746898263,24.23340351522486,21.208622457820418,1049.5528967254409,760.5478589420655,24.019420157854917,21.079043834763926,974.1717557251908,724.7519083969465,24.417352570113227,20.507932310575725,794.4019607843137,695.1274509803922,24.272294866373432,21.414921844860334,861.9190231362468,654.7005141388174,23.632665512688252,20.98691757962547,1162.5325,529.765,23.885730998485386,21.349738983603405,483.6959798994975,466.6231155778894,23.692084928601734,21.42555001218812,1615.6557788944724,384.8417085427136,23.329000681706187,21.739289222646303,1100.676165803109,368.14248704663214,23.216812343551844,21.182471374455858,1080.109022556391,307.968671679198,24.332528753353348,20.927440248054356,983.3370927318296,190.90350877192986,23.990090538526147,21.198482275907548,1005.0615763546798,28.807881773399004,24.707789830316788,20.9598963377069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,19,848.7975871313673,1484.2184986595175,23.523244693671703,20.22246307224064,876.392030848329,1465.8676092544988,24.210964317534078,20.47720635160487,955.0932642487047,1464.2979274611398,23.9701736874277,20.53572470367278,829.9908616187989,1442.8759791122716,24.037815249406513,20.295563390188544,863.4514066496164,1369.898976982097,24.22057568776954,20.607561557304983,1010.5357995226731,850.3114558472554,24.881900433010237,21.448858542220226,855.5119047619048,845.4857142857143,24.857259583951024,21.543680296442027,1048.9461152882207,803.422305764411,24.33953640717489,20.91432142006988,974.9523227383863,766.8789731051345,25.109414100410028,20.763769503815563,793.0447941888619,739.4176755447942,24.8077905632934,21.266373735614767,858.7235872235872,693.470515970516,24.297512156601435,21.35534006660821,1162.4520383693045,572.1978417266187,24.520305300054513,21.675621525515677,478.4776119402985,507.66666666666663,23.797589684625077,21.52930139062194,1619.5343137254902,419.9191176470588,23.904981371816234,21.728198957450072,1100.213567839196,400.3517587939698,23.70531692292863,21.399565109376653,1079.6937799043062,352.82775119617236,24.805981638563217,21.499509260559883,981.9460784313726,235.23529411764707,24.78247808788442,20.99379868819904,1004.1785714285714,72.76190476190482,25.238566130090827,21.205511939425755,902.5752427184466,40.689320388349415,24.592550306986652,21.3618542815772,NaN,NaN,NaN,NaN
3,16,828.8190348525469,1481.8217158176944,23.68220803665327,20.071383378863594,862.5585106382979,1411.026595744681,24.08610915246483,19.90310724918595,1009.7163461538462,893.9423076923077,25.504173134822217,20.8096780380258,853.8050847457627,889.3474576271186,25.244758695726045,20.884739487983833,1048.3517587939698,846.4396984924623,24.093313742280937,21.06431722985027,975.5962025316455,808.8721518987342,24.109849733792068,20.879078632337297,791.544665012407,783.5049627791564,23.967325209644542,21.43688343939304,855.4326683291771,732.0211970074813,23.992660267570166,21.292013388728012,1162.370646766169,614.5796019900497,23.90778574906651,21.42739503337737,473.4221105527638,548.7185929648241,23.705907494532823,21.38854513505202,1623.3643216080402,454.8140703517588,23.65249066864386,21.430581390904877,1099.5899742930592,432.4691516709511,23.125717285478053,21.41252056241918,1079.1845965770171,397.3264058679706,24.628064998844398,21.18288601422999,980.5942928039702,279.3362282878411,24.306698989834448,21.149534595706157,1003.2463414634146,116.57804878048773,24.768522178233102,21.113126072862922,901.0452261306533,81.4346733668342,24.295580606170812,20.907925372892482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,16,861.8229166666666,1451.96875,24.011827717793107,20.387858360796816,1008.9067796610169,937.6016949152543,25.364184150406594,20.747417841777246,851.9690476190476,933.5285714285715,25.478995334187736,21.02814501871808,1047.7009685230025,889.5581113801453,25.239202143308418,20.876591376401667,976.2916666666666,851.0833333333334,24.606834728266808,21.119921171175697,790.3009708737864,828.1043689320388,24.66797084401385,21.30234548312677,852.3329238329238,770.9545454545455,24.205940671095373,21.418048379498607,1162.280487804878,657.1317073170732,24.34112777858571,21.46540050295145,468.32107843137254,589.9803921568628,24.276526695519212,21.401267397497637,1627.1151960784314,489.99264705882354,23.845692687914028,21.8073820038222,1099.069587628866,464.7680412371135,23.49917808292988,21.035188102648256,1078.7174940898344,442.4172576832152,25.108885533682006,21.492676681837278,979.25,323.9331683168316,24.48687817561272,21.029789031276657,1002.4593301435407,160.67703349282306,25.001857079963642,21.31617283276214,899.4144254278729,122.57579462102694,24.369364349975513,21.408549083525415,921.5878048780488,38.919512195122024,24.392676566570394,21.42962572632951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,14,1008.1291866028708,980.8923444976076,25.316227165825484,21.049379356811762,850.2428571428571,977.2166666666667,25.294868163731685,21.15517730168199,1047.0084745762713,932.6476997578693,25.384371772964574,20.720676415030425,976.9240196078431,893.3799019607843,25.348256265903913,20.53227049994293,788.6884057971015,872.2874396135265,24.425382301145294,21.622668487891467,848.8417721518987,809.5151898734177,24.01047854869407,20.97796295632655,1162.1275,699.565,24.015020056004204,21.263845176959755,463.1641604010025,630.921052631579,23.94535239870571,21.26392156262009,1630.9331683168316,525.0841584158416,23.48844727298166,21.913175644343415,1088.094890510949,491.99148418491484,49.63641658833329,23.460753497743543,977.8861386138614,368.21782178217813,24.466116965957056,21.067712009078146,1001.554892601432,204.62649164677805,24.973848648493803,21.37522035052381,897.75,163.50742574257424,24.34357478763267,21.159773603371903,920.3994974874372,79.19095477386941,24.394251779550927,20.81009059411585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,15,1007.226618705036,1024.173860911271,24.8565118724222,21.382315008909533,848.4713603818616,1020.77446300716,25.008648157458186,21.347968274777546,1046.3153477218225,975.363309352518,25.05484360587829,21.20891305547665,977.45,935.452380952381,25.205117956185223,21.22211414039682,787.4313725490196,916.8676470588235,24.18920933817502,21.5501478437171,845.6138613861386,848.2821782178218,24.259714477221795,21.23617030219227,1161.8234567901234,742.1493827160493,24.20600607218533,21.318020341130257,458.06109725685786,672.1109725685785,24.042709086192705,21.270039192354478,1634.5349127182044,560.3154613466335,23.558737677340883,21.692766488323123,1087.593827160494,530.6876543209877,45.67005612915346,23.960068867864504,976.4729064039409,412.6625615763546,24.521472639459557,21.1323942151221,1000.6626213592233,248.61893203883506,24.770490798139193,21.187707948380627,896.1582914572864,204.5452261306532,24.274561649984438,20.92629975025098,919.2311557788945,119.8065326633166,24.339062749353403,20.870633878484675,1037.860902255639,28.640350877192986,24.333600091785026,20.9260072229509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,16,1006.4049881235154,1067.3622327790974,25.201657345063126,21.297147615551456,846.7024096385542,1064.2036144578315,24.854492863177626,21.292012262773504,1045.6809290953545,1017.979217603912,25.00297888234754,20.875989165728,978.1626506024096,977.2686746987952,25.014585163104552,21.153899140463206,785.962441314554,961.086854460094,25.620919654634665,21.215368794437023,842.4421686746988,886.9361445783132,24.867776045571755,21.281142147615654,1161.6881188118812,784.5272277227723,24.01451015416234,21.465894517021464,452.96534653465346,713.3019801980198,24.15503630464713,21.33389656390657,1638.2259259259258,595.3617283950617,23.52181105676291,21.946778326155364,1077.1029411764705,576.5710784313726,24.728504439205715,21.068880904219988,1097.136815920398,562.0348258706467,23.806860899388695,21.545255932786084,975.0330073349634,457.22616136919305,24.860984132616235,20.991331426826378,999.6766109785203,292.78400954653944,25.046589622057922,21.327661756523888,894.4925742574258,245.76732673267315,24.146299673996676,21.317264689945784,918.0173267326733,160.22029702970303,24.682561242709497,20.869461636658492,1037.383495145631,71.22330097087388,24.462235275001063,21.45760280808904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,17,1005.5,1110.3390243902438,24.762518777772446,21.12040118256308,845.0522388059702,1107.5273631840796,24.80015757296018,20.66845662799247,1044.9975369458127,1060.4975369458127,25.003113753635276,20.6945120189447,978.6975609756098,1019.2048780487805,24.8285359558506,21.043599560897317,784.7309523809524,1005.047619047619,25.177507346126664,21.281415759191315,839.1485148514852,925.6608910891089,24.626176621431412,20.93630573446161,1161.5049627791564,827.0583126550869,23.98709037191165,21.400098114099897,447.92748091603056,754.4083969465648,23.763983134331305,21.098370017494524,1641.9145728643216,630.3969849246231,23.248373102908214,21.813979582497478,1076.4679802955666,621.4113300492611,24.198718125992293,21.39227881286087,1096.6094147582696,594.4567430025445,23.46555410901883,21.31518533667645,973.5348258706467,501.72139303482584,24.012919887195388,21.339448327392635,998.8225,336.9275,24.403302801612842,20.916276254935863,892.9135338345865,286.96365914786975,24.06369497310321,21.167569576661226,916.8173803526448,200.9206549118387,24.23341714552439,20.899094516239153,1036.9591836734694,113.69132653061229,23.900005247486398,20.932687360892817,903.1025641025641,31.774358974359075,24.051140275772287,20.690781452193804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,17,1004.7063106796116,1152.9927184466019,24.51005486086079,21.42978140373077,843.2791262135922,1150.7257281553398,24.945538022977125,21.05674366544765,1044.2281553398059,1102.8810679611652,25.116837543302868,20.913317053932314,979.2314148681055,1060.7901678657074,25.188043117761048,21.099540622650096,783.4016393442623,1048.8981264637002,25.332038109059578,21.484480950764823,835.9278959810874,964.1406619385343,24.873868478850163,21.67091366835792,1161.438679245283,869.563679245283,25.103714539835334,21.51741681800167,442.8432098765432,795.3691358024691,24.243505609402533,21.32036439596892,1075.8970588235295,666.2450980392157,24.662125452424434,21.108074521351824,1645.7059553349875,665.4727047146401,23.37123375692375,21.978402251870307,1096.105,626.6675,23.55241208306707,21.63835911222006,972.2432762836186,546.1577017114914,24.660799485412145,21.136565392448254,997.7517814726841,381.00356294536823,25.11437482626936,21.377213636522143,891.198296836983,328.1082725060828,24.42904163462641,21.451724900653236,915.5634146341464,241.53658536585363,24.504181152440434,21.32411508496077,1036.511990407674,156.3129496402878,24.868103586669754,21.359736418651956,901.6116504854369,75.76213592233012,24.830972931735584,21.1565501501537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,17,1003.8131313131313,1195.4343434343434,24.436080790568393,20.66441243569624,841.7085427135678,1193.4221105527638,24.45917271071235,20.752457776156085,1043.5987341772152,1144.8848101265824,24.556861140009048,20.531788084620334,979.8696202531646,1102.1151898734176,24.268365575247977,20.759993757570648,782.0756097560976,1092.621951219512,25.04408931545342,20.889389804909584,832.6228501228501,1002.465601965602,24.564444814902338,21.12332754950466,1161.1780487804879,911.9658536585366,24.73643133191539,21.130781262788968,437.92487046632124,836.3523316062176,23.500616049832942,20.94074973534722,1075.2797468354431,710.7253164556962,23.780647082206812,21.188513880353227,1649.3604060913706,700.5228426395939,23.263072813467016,21.574370762173334,1095.4274611398964,658.8367875647668,23.053059122885724,21.329015240475577,970.7803970223325,590.3883374689826,24.27156292495431,21.167054562237794,996.9527363184079,425.20149253731347,24.46887343393806,20.958899552864096,889.4771573604061,369.07106598984774,23.87323802114532,21.045506930470523,914.2929292929293,282.0050505050506,24.050184316848412,20.999594801833183,1035.9632911392405,198.83670886075947,24.159506161466442,20.84862139704025,900.0025252525253,119.780303030303,24.19430395921265,20.89619976337306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
