FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y,MidPoint_16_x,MidPoint_16_y,MidPoint_17_x,MidPoint_17_y,MidPoint_18_x,MidPoint_18_y,MidPoint_19_x,MidPoint_19_y,MidPoint_20_x,MidPoint_20_y,MidPoint_21_x,MidPoint_21_y,MidPoint_22_x,MidPoint_22_y,MidPoint_23_x,MidPoint_23_y,MidPoint_24_x,MidPoint_24_y,MidPoint_25_x,MidPoint_25_y,MidPoint_26_x,MidPoint_26_y,MidPoint_27_x,MidPoint_27_y,MidPoint_28_x,MidPoint_28_y,MidPoint_29_x,MidPoint_29_y,MidPoint_30_x,MidPoint_30_y,MidPoint_31_x,MidPoint_31_y,MidPoint_32_x,MidPoint_32_y,MidPoint_33_x,MidPoint_33_y,MidPoint_34_x,MidPoint_34_y,MidPoint_35_x,MidPoint_35_y,MidPoint_36_x,MidPoint_36_y,MidPoint_37_x,MidPoint_37_y,MidPoint_38_x,MidPoint_38_y,MidPoint_39_x,MidPoint_39_y,MidPoint_40_x,MidPoint_40_y,MidPoint_41_x,MidPoint_41_y,MidPoint_42_x,MidPoint_42_y,MidPoint_43_x,MidPoint_43_y,MidPoint_44_x,MidPoint_44_y,MidPoint_45_x,MidPoint_45_y,MidPoint_46_x,MidPoint_46_y,MidPoint_47_x,MidPoint_47_y,MidPoint_48_x,MidPoint_48_y,MidPoint_49_x,MidPoint_49_y,MidPoint_50_x,MidPoint_50_y,MidPoint_51_x,MidPoint_51_y,MidPoint_52_x,MidPoint_52_y,MidPoint_53_x,MidPoint_53_y,MidPoint_54_x,MidPoint_54_y,MidPoint_55_x,MidPoint_55_y,MidPoint_56_x,MidPoint_56_y,MidPoint_57_x,MidPoint_57_y,MidPoint_58_x,MidPoint_58_y,MidPoint_59_x,MidPoint_59_y,MidPoint_60_x,MidPoint_60_y,MidPoint_61_x,MidPoint_61_y,MidPoint_62_x,MidPoint_62_y,MidPoint_63_x,MidPoint_63_y,MidPoint_64_x,MidPoint_64_y,MidPoint_65_x,MidPoint_65_y,MidPoint_66_x,MidPoint_66_y,MidPoint_67_x,MidPoint_67_y,MidPoint_68_x,MidPoint_68_y
1,38,577.4049180327869,1281.5393442622951,2246.0504587155965,1250.717125382263,1806.7777777777778,1240.2777777777778,1544.8596214511042,1218.4022082018928,999.5226537216829,1195.2864077669904,1882.892523364486,1177.973520249221,1671.1515151515152,1136.9,1890.8402985074626,1062.3059701492537,456.52564102564105,1035.4935897435898,1727.2885196374623,1006.5876132930514,723.6555555555556,999.3126984126984,1839.8560830860533,993.4673590504451,1709.2292307692308,977.8938461538462,219.9593023255814,929.5959302325582,633.2571884984026,926.7939297124601,382.5430769230769,910.8569230769231,1982.,897.340490797546,2215.1564245810055,892.7290502793296,1592.391238670695,863.1827794561934,839.4314641744548,728.5934579439253,2083.5773993808048,714.922600619195,1912.0415282392028,704.1079734219269,462.79493087557603,607.1866359447005,1032.0665024630541,604.3965517241379,1811.7121212121212,593.491341991342,740.46,561.92,2186.4300411522636,526.0843621399177,1786.7057613168724,509.88683127572017,1867.7735042735044,480.5769230769231,1898.2957446808512,362.0702127659574,2070.516129032258,181.77016129032268,937.481981981982,166.99549549549556,1960.7263374485597,154.87448559670793,868.5,152.5321100917431,785.588785046729,98.55140186915878,2032.2642276422764,57.2479674796748,651.2608695652174,53.45217391304345,2033.2911646586344,35.30722891566256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,37,2244.557926829268,1286.5792682926829,1805.714983713355,1275.9755700325734,1544.5032154340836,1254.548231511254,1000.6558441558442,1231.7435064935064,1881.812101910828,1214.4012738853503,1670.3610271903324,1172.9924471299094,1890.7058823529412,1099.1029411764705,458.1163522012579,1072.817610062893,1726.7644376899696,1043.6519756838907,724.715625,1036.6875,1839.0828402366865,1030.4201183431953,1708.496875,1014.91875,221.17732558139534,966.3604651162791,634.4650793650794,964.2111111111111,383.4176829268293,948.530487804878,1981.7813455657492,935.2737003058104,2214.6107954545455,930.0198863636364,1592.3716417910448,900.8283582089553,839.9384384384384,766.475975975976,2083.5160818713452,753.0204678362574,1911.6603773584907,742.440251572327,463.7851063829787,645.1680851063829,1032.7272727272727,641.9909090909091,1812.165306122449,631.7285714285714,741.109756097561,599.8073170731707,2186.713438735178,564.6660079051384,1787.3765432098764,548.0020576131687,1867.7723404255319,519.4489361702127,1899.1932773109243,400.5840336134454,2070.9920634920636,219.7460317460318,938.5538116591928,206.0964125560538,1961.548,192.27199999999993,868.9615384615385,191.46832579185525,785.3693693693693,137.1261261261261,2033.2188755020081,96.14658634538159,651.5169491525423,92.16525423728808,2033.6434262948208,73.9541832669322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,35,1001.7347266881029,1267.8376205787781,1880.7784810126582,1250.5569620253164,1669.717791411043,1209.0613496932515,1890.445945945946,1135.8123123123123,459.5820189274448,1110.0362776025236,1726.370481927711,1080.7259036144578,726.0630769230769,1074.0076923076922,1838.1884272997033,1067.158753709199,1707.804347826087,1051.6149068322982,222.47391304347826,1003.1173913043478,635.653605015674,1001.3934169278997,384.2355623100304,986.0531914893618,1981.4133126934985,972.8653250773993,2214.0014245014245,967.1324786324786,1592.3413173652696,938.188622754491,840.6148036253776,804.3821752265861,2083.522955523673,790.8328550932567,1911.2177177177177,780.3768768768768,465.0087108013937,683.0923344947735,1033.4166666666667,679.7427536231884,1812.6971830985915,670.0281690140845,742.0138888888889,638.0046296296297,2186.9710424710424,603.1409266409266,1787.5894308943089,586.2235772357724,1867.7139917695474,558.261316872428,1900.3048780487804,439.239837398374,2071.5,257.7392156862745,939.3951965065502,245.25982532751095,869.4642857142857,230.54017857142867,1962.2193675889328,229.96640316205526,785.2777777777778,175.7977777777778,2033.9527559055118,134.97244094488178,651.8347280334729,130.8556485355648,2034.13671875,112.62109375,1761.5894308943089,29.77642276422762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,34,1879.6777777777777,1286.588888888889,1669.0565749235475,1245.01376146789,1890.1706948640483,1172.3247734138972,461.18652037617557,1146.9451410658307,1725.6345565749236,1117.545871559633,727.3668730650155,1110.9148606811145,1837.198795180723,1103.632530120482,1706.9712990936555,1088.2462235649546,223.90401146131805,1039.5601719197707,637.0220125786163,1038.317610062893,385.31626506024094,1023.3614457831325,1981.0963855421687,1010.4849397590361,2213.2413793103447,1003.8563218390805,1592.1235294117646,975.4470588235295,841.3658536585366,841.8048780487804,2083.157593123209,828.9426934097421,1910.787833827893,818.3041543026707,466.33850931677017,720.4813664596273,1034.2055214723925,716.9693251533743,1813.113707165109,707.9922118380063,742.8283582089553,676.2164179104477,2187.131768953069,641.731046931408,1787.88671875,624.21484375,1867.603305785124,596.9380165289256,1901.3181818181818,477.71074380165294,2071.77734375,295.6328125,940.3464912280701,284.1798245614035,869.9615384615385,269.3506787330316,1963.088932806324,267.43280632411074,785.1968325791855,214.4864253393664,2034.9189723320158,173.88735177865624,652.295744680851,169.43191489361698,2034.55859375,151.109375,1761.5566801619434,68.19635627530374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,33,1668.2735849056603,1280.5377358490566,1889.7674772036473,1208.5121580547113,462.9933774834437,1183.7019867549668,1725.2993730407522,1153.9326018808777,728.4712460063897,1147.838658146965,1836.219512195122,1139.8902439024391,1706.1532507739937,1124.4814241486067,225.4941690962099,1075.8877551020407,638.5064516129032,1075.132258064516,386.3036809815951,1060.3374233128834,1980.595975232198,1047.8653250773993,2212.3849557522126,1040.7153392330383,1592.0802469135801,1012.6141975308642,841.9907407407408,879.3611111111111,2082.914847161572,866.8173216885007,1910.2386018237082,856.1474164133738,467.5248447204969,758.1335403726708,1034.969135802469,754.5185185185185,1813.4481707317073,746.1920731707318,743.6197411003236,713.8495145631068,2187.185618729097,680.2023411371238,1788.0494505494505,662.6245421245421,1867.4835390946503,635.7510288065844,1902.2705627705627,516.3311688311688,2072.148979591837,333.2673469387755,941.1574074074074,323.10185185185185,870.452380952381,308.1857142857143,1963.8374485596707,304.8292181069959,784.9354066985646,252.98325358851685,2035.6932773109243,212.70588235294122,652.6294642857143,207.7991071428571,2034.856846473029,189.5912863070539,1761.6218487394958,106.52941176470586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,33,1889.465625,1244.71875,464.7843137254902,1220.4575163398692,1724.5754716981132,1190.317610062893,729.8745928338762,1184.314332247557,1835.2018633540372,1175.9875776397516,1705.3096774193548,1160.8,227.09337349397592,1112.0572289156626,639.9346405228758,1111.924836601307,387.4190031152648,1097.3411214953271,1979.9317460317461,1085.1253968253968,2211.243440233236,1077.4125364431486,1591.7981366459628,1049.5186335403728,842.6261829652997,916.5630914826498,2082.442731277533,904.6101321585903,1909.5895061728395,893.9259259259259,468.96894409937886,795.6428571428571,1035.5802469135801,791.5771604938271,1813.7507374631268,783.7654867256637,744.5328947368421,751.8190789473684,2187.0714285714284,718.6136363636364,1788.290996784566,700.5739549839228,1867.0942028985507,674.5905797101449,1903.0745614035088,554.7894736842105,2072.407949790795,371.3912133891214,942.0311004784689,362.0885167464115,870.8861386138614,347.2277227722773,1964.7145922746781,342.4957081545065,784.905,291.77,2036.628205128205,251.72222222222217,653.074074074074,246.48148148148152,2035.423076923077,228.25641025641016,1761.5429184549357,144.83905579399152,669.5442477876106,44.31858407079653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,35,1888.9828660436137,1280.6370716510903,466.4409836065574,1256.827868852459,1723.7770700636943,1226.4522292993631,731.3589743589744,1220.8108974358975,1834.05900621118,1211.863354037267,1704.3658146964856,1196.7907348242811,228.82640949554897,1148.146884272997,641.4090909090909,1148.3863636363635,388.671875,1134.06875,1979.4184952978057,1122.192789968652,2210.3407079646017,1113.8274336283187,1591.5996884735202,1086.4190031152648,843.4538461538461,953.823076923077,2082.0243722304285,942.1883308714919,1908.9658385093169,931.6583850931677,470.444099378882,833.2670807453417,1036.515197568389,828.8647416413373,1814.1264705882354,821.6764705882354,745.468152866242,789.2070063694268,2186.8225806451615,756.9956011730205,1788.5122699386502,738.5460122699386,1866.7958199356913,713.3006430868168,1903.7857142857142,593.5909090909091,2072.6666666666665,409.4125,942.931279620853,401.1824644549763,871.4190476190477,386.14761904761906,1965.4324894514768,380.07805907172997,784.8793103448276,330.33743842364527,2037.5,290.60970464135016,653.4636363636364,285.2045454545455,2035.6316872427983,266.91563786008237,1761.6021276595745,183.4021276595745,669.6385281385282,83.08008658008657,521.9424778761062,29.65486725663709,1698.4466666666667,17.802222222222326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,34,1723.3,1262.321875,732.7875399361022,1256.8993610223642,1832.812693498452,1247.7074303405573,1703.4559748427673,1232.5817610062893,230.58902077151336,1183.8590504451038,642.9491803278688,1184.5754098360655,389.9298780487805,1170.6310975609756,1978.684375,1159.121875,2209.15889212828,1150.1763848396502,1591.5213414634147,1122.905487804878,844.3523076923077,990.9430769230769,2081.383652430044,979.8755522827687,1908.3073394495414,969.2064220183486,472.04153846153844,870.5276923076923,1037.410447761194,866.010447761194,1814.2197640117995,859.3377581120944,746.5877742946708,826.844827586207,2186.4323529411763,795.2970588235294,1788.6432664756446,776.3080229226362,1866.5240240240241,752.0195195195195,1904.5803212851406,632.1907630522088,2073.048387096774,447.3467741935484,943.8198198198198,440.31081081081084,871.9186046511628,425.0720930232558,1966.1835443037974,417.65189873417717,784.7816901408451,368.9882629107981,2038.4079497907949,329.44560669456064,653.7844444444445,323.71777777777777,2035.892561983471,305.5041322314049,1761.5289256198348,221.7809917355371,669.7851063829787,121.6234042553192,523.4008620689655,66.79741379310349,1698.7139737991267,56.18558951965065,1981.7653846153846,21.38846153846157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,33,1831.5903426791276,1282.8738317757009,1702.5,1268.1509433962265,644.5935483870968,1220.725806451613,232.44328358208955,1219.482089552239,391.2808641975309,1207.0833333333333,1977.8270440251572,1195.7295597484276,2207.9683908045977,1186.1896551724137,1591.2777777777778,1159.3117283950617,845.1564417177914,1027.6196319018404,2080.725185185185,1017.1281481481482,1907.3668730650154,1006.3668730650154,473.60574018126886,907.7779456193354,1038.1479289940828,903.0621301775147,1814.3040935672514,897.1315789473684,747.5532915360502,864.487460815047,2186.0619596541787,833.4567723342939,1788.6350574712644,814.1120689655172,1865.9897959183672,790.1705539358601,1905.278156996587,670.8037542662116,2073.125498007968,485.1254980079681,944.6875,479.1875,872.3623853211009,464.1376146788991,1966.861788617886,455.2113821138212,784.568493150685,407.47260273972597,2039.282258064516,368.30241935483866,654.2835497835498,362.43506493506493,2036.2091633466136,344.0139442231076,1761.5897959183674,260.0673469387755,670.1416666666667,160.2125000000001,524.6476793248945,103.92194092827003,1699.2435897435898,94.47863247863256,1982.0977011494253,58.737547892720386,2303.7123287671234,32.95547945205476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,32,646.1842105263158,1256.6809210526317,234.5,1254.8507692307692,392.76959247648904,1243.3401253918496,1977.0852090032154,1232.0659163987139,2206.741176470588,1221.985294117647,1590.832288401254,1195.4811912225705,846.0644171779142,1064.2515337423313,2079.9176470588236,1054.1176470588234,1906.432098765432,1043.5030864197531,475.4051987767584,945.1024464831804,1039.0361445783133,939.9156626506024,1814.3470588235293,934.7529411764706,748.8354430379746,901.9873417721519,2185.7155688622756,871.4850299401198,1788.625730994152,851.9005847953217,1865.5268656716419,828.5477611940298,1905.739875389408,709.2819314641745,2073.2701612903224,523.2016129032259,945.5995475113123,518.1968325791855,872.913145539906,503.03521126760563,1967.4406779661017,492.6991525423729,784.4380952380952,446.2047619047619,2039.7605042016808,407.3151260504202,654.7045454545455,400.9818181818182,2036.5329218106997,382.6399176954733,1761.6134453781513,298.5672268907563,670.4230769230769,198.82051282051293,525.9391304347826,140.9739130434782,1699.5739130434783,132.7086956521739,1982.4055118110236,96.2913385826771,2303.7296819787985,70.78621908127207,1894.787356321839,31.97892720306504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
