FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y,MidPoint_16_x,MidPoint_16_y,MidPoint_17_x,MidPoint_17_y,MidPoint_18_x,MidPoint_18_y,MidPoint_19_x,MidPoint_19_y,MidPoint_20_x,MidPoint_20_y,MidPoint_21_x,MidPoint_21_y,MidPoint_22_x,MidPoint_22_y,MidPoint_23_x,MidPoint_23_y,MidPoint_24_x,MidPoint_24_y,MidPoint_25_x,MidPoint_25_y,MidPoint_26_x,MidPoint_26_y,MidPoint_27_x,MidPoint_27_y,MidPoint_28_x,MidPoint_28_y,MidPoint_29_x,MidPoint_29_y,MidPoint_30_x,MidPoint_30_y,MidPoint_31_x,MidPoint_31_y,MidPoint_32_x,MidPoint_32_y,MidPoint_33_x,MidPoint_33_y,MidPoint_34_x,MidPoint_34_y,MidPoint_35_x,MidPoint_35_y,MidPoint_36_x,MidPoint_36_y,MidPoint_37_x,MidPoint_37_y,MidPoint_38_x,MidPoint_38_y,MidPoint_39_x,MidPoint_39_y,MidPoint_40_x,MidPoint_40_y,MidPoint_41_x,MidPoint_41_y,MidPoint_42_x,MidPoint_42_y,MidPoint_43_x,MidPoint_43_y,MidPoint_44_x,MidPoint_44_y,MidPoint_45_x,MidPoint_45_y,MidPoint_46_x,MidPoint_46_y,MidPoint_47_x,MidPoint_47_y,MidPoint_48_x,MidPoint_48_y,MidPoint_49_x,MidPoint_49_y,MidPoint_50_x,MidPoint_50_y,MidPoint_51_x,MidPoint_51_y,MidPoint_52_x,MidPoint_52_y,MidPoint_53_x,MidPoint_53_y,MidPoint_54_x,MidPoint_54_y,MidPoint_55_x,MidPoint_55_y,MidPoint_56_x,MidPoint_56_y,MidPoint_57_x,MidPoint_57_y,MidPoint_58_x,MidPoint_58_y,MidPoint_59_x,MidPoint_59_y,MidPoint_60_x,MidPoint_60_y,MidPoint_61_x,MidPoint_61_y,MidPoint_62_x,MidPoint_62_y,MidPoint_63_x,MidPoint_63_y,MidPoint_64_x,MidPoint_64_y,MidPoint_65_x,MidPoint_65_y,MidPoint_66_x,MidPoint_66_y,MidPoint_67_x,MidPoint_67_y,MidPoint_68_x,MidPoint_68_y,MidPoint_69_x,MidPoint_69_y,MidPoint_70_x,MidPoint_70_y,MidPoint_71_x,MidPoint_71_y,MidPoint_72_x,MidPoint_72_y,MidPoint_73_x,MidPoint_73_y,MidPoint_74_x,MidPoint_74_y
1,68,1408.4567307692307,1269.3942307692307,1745.2490347490348,1258.6660231660233,1279.989932885906,1222.8154362416108,1138.64,1186.676,1649.0543071161048,1174.0318352059926,1410.8875,1173.775,1709.8024193548388,1170.7016129032259,71.32657657657657,1125.2387387387387,1576.7689075630253,1083.3697478991596,890.7910798122066,1076.1666666666667,1663.6777108433735,1058.6506024096386,926.7953020134228,1048.6610738255033,1411.7939393939394,1014.6484848484848,1904.1462264150944,1004.6415094339623,1477.2862595419847,1000.6526717557251,1119.3159722222222,996.8923611111111,2247.985294117647,974.4,1558.8433333333332,951.9,1350.159420289855,932.641304347826,398.2208480565371,911.9876325088339,1515.5071684587813,895.6146953405018,835.5313725490196,890.4529411764706,815.8973799126637,883.9192139737991,637.3725490196078,868.328431372549,1035.7017291066281,863.3097982708935,945.5890410958904,862.5924657534247,35.77777777777778,854.5833333333333,343.64859437751005,841.359437751004,986.76171875,840.6015625,641.87106918239,823.9748427672955,840.38,804.5355555555556,1870.1827309236949,794.3835341365461,1948.9934210526317,789.6578947368421,1118.2424242424242,778.9810606060606,1754.6167883211679,757.9014598540145,2294.060975609756,729.6829268292682,1291.244966442953,707.6208053691275,1682.5438596491229,694.6535087719299,2303.029411764706,662.6932773109244,316.252427184466,679.3009708737864,1393.5652173913043,679.4202898550725,1512.092,676.196,1635.4933774834437,663.5860927152318,1304.0225225225224,639.8783783783783,1261.924,603.78,1081.404761904762,588.7539682539683,308.1412213740458,550.0572519083969,1136.5081300813008,457.8739837398374,1482.3658536585365,453.92682926829264,2034.132911392405,444.753164556962,859.3344827586207,424.2172413793104,1422.6847826086957,418.5380434782609,1294.8076923076924,345.94230769230774,1277.5555555555557,307.33333333333337,1599.7529411764706,244.92941176470595,1330.8564356435643,243.13366336633658,1089.8203125,239.625,994.0222222222222,237.52222222222213,2173.9914285714285,234.92857142857133,1568.6571428571428,207.9785714285715,1576.2261904761904,148.57142857142867,1349.4748427672955,147.2547169811321,1172.5072463768115,136.427536231884,1148.7887323943662,90.26760563380276,2124.0408163265306,56.94897959183663,1506.9315789473685,49.47894736842113,470.7173913043478,17.46195652173924,1089.7971014492753,17.3840579710145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,68,1280.6228668941978,1257.2815699658704,1139.123430962343,1219.847280334728,1649.5981132075472,1207.8094339622642,1708.2142857142858,1204.2436974789916,1410.6772151898733,1205.5253164556962,71.46916299559471,1156.8590308370044,1576.8434782608695,1113.0347826086957,892.5862944162436,1107.5913705583757,1663.0648148148148,1089.0740740740741,922.9342105263158,1080.9934210526317,1411.9396284829722,1049.09133126935,1903.6190476190477,1039.7285714285715,1118.5714285714287,1030.7255639097743,1479.452380952381,1029.7087912087911,2246.382005899705,1008.405604719764,1558.1097560975609,988.5034843205575,1351.1133828996283,967.7602230483271,399.0243445692884,942.5374531835206,1516.644366197183,931.0739436619718,833.7712550607288,922.0344129554655,814.8026315789474,920.4649122807018,641.2211538461538,904.1057692307693,1035.42749244713,898.9380664652567,946.0913978494624,894.5824372759857,37.938818565400844,884.9894514767932,986.1384615384616,875.8923076923077,342.7292490118577,874.4328063241107,643.3166089965398,857.8910034602077,840.0071770334928,840.5478468899521,1868.97131147541,826.8729508196722,1949.921052631579,823.3125,1112.5112781954888,810.5526315789473,1753.0190311418685,793.6626297577855,1291.3653846153845,743.5352564102565,2291.3205128205127,740.2179487179487,1681.9734848484848,729.7310606060606,1393.4155555555556,712.3933333333333,316.388,710.436,2301.1470588235293,690.9779411764706,1513.0877551020408,703.695918367347,1636.0674418604651,696.3093023255814,1306.1575342465753,674.0410958904109,1261.896694214876,637.5661157024794,1082.467741935484,626.2741935483871,308.3515625,580.6328125,1136.0254237288136,493.93220338983053,1483.4722222222222,491.31944444444446,2039.2371794871794,479.3461538461538,857.5,458.7177419354839,1423.6656804733727,453.3224852071006,1292.5425531914893,381.60638297872345,1278.6142857142856,344.4428571428572,1599.4,282.06875,1331.4886363636363,280.31818181818187,993.9,275.1533333333334,2174.4151515151516,268.66969696969704,1092.4157894736843,261.43684210526317,1569.316,243.44399999999996,1575.9764705882353,184.1705882352942,1347.827380952381,179.8571428571429,1171.6810344827586,173.01724137931024,1150.9545454545455,124.34848484848476,2126.458762886598,84.14948453608258,1507.701923076923,82.11538461538453,467.6666666666667,49.11538461538453,1089.4816513761468,50.87614678899081,1879.5697674418604,20.994186046511686,1748.327868852459,20.729508196721326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,67,1139.7556053811659,1252.4013452914799,1649.9806201550387,1241.2054263565892,1706.4533898305085,1238.2796610169491,1410.5,1237.1546762589928,71.99244060475162,1188.5151187904967,1577.1625,1142.7583333333332,893.723880597015,1139.773631840796,1662.1943521594685,1119.6129568106312,918.9267515923567,1113.1433121019109,1412.0709570957097,1083.328382838284,1902.9468085106382,1074.281914893617,1117.6195219123506,1064.1494023904384,1481.125,1059.5916666666667,2244.794294294294,1042.496996996997,1557.5428571428572,1025.142857142857,1352.3593155893536,1002.9904942965779,399.78125,973.72265625,1517.5373134328358,966.4701492537313,823.7851153039833,955.1205450733753,645.0357142857143,940.1326530612246,1035.243670886076,933.9715189873418,946.7952029520295,925.6881918819188,40.28540772532189,915.2896995708154,985.4885496183206,911.0954198473282,342.3211382113821,906.959349593496,644.7913669064748,892.294964028777,839.6895734597157,876.3720379146919,1868.0325203252032,859.890243902439,1950.4065743944636,857.7214532871972,1106.105072463768,841.9710144927536,1751.4722222222222,829.6770833333333,1291.1341463414635,779.6524390243902,1681.0520833333333,764.7881944444445,1393.4473684210527,745.9122807017544,315.96931407942236,740.7996389891697,1513.5193798449613,731.6007751937984,2298.487421383648,710.7578616352201,1636.6336032388665,728.8238866396761,1307.9953271028037,707.4626168224299,1262.2985611510792,672.6726618705036,2302.78125,665.5625,1083.8676470588234,664.0220588235294,309.1734693877551,610.5510204081633,1136.2033898305085,529.6525423728814,1484.4074074074074,528.5,2043.840579710145,513.8913043478261,856.1272727272727,494.0545454545454,1424.251677852349,488.36577181208054,1290.8783783783783,418.2297297297297,1279.7105263157894,380.4473684210526,1599.3947368421052,319.3355263157895,1331.7682926829268,317.5853658536586,993.5882352941177,313.2647058823529,2175.0308641975307,302.3641975308642,1094.0377358490566,284.9622641509434,1569.908163265306,278.6632653061224,1575.53355704698,220.45302013422815,1346.2289156626507,212.47590361445782,1170.625,209.58333333333326,1152.8217391304347,159.76956521739135,1508.6834862385322,114.02293577981641,2128.7972972972975,112.85135135135124,1088.7555555555555,83.5666666666666,464.5091743119266,81.1788990825687,1881.317610062893,55.42452830188677,1749.570796460177,54.942477876106295,2045.2518248175184,39.79927007299261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,68,1140.2892561983472,1284.6322314049587,1650.3984962406016,1274.5827067669172,1704.854085603113,1271.7996108949417,1410.1266666666668,1268.28,80.177304964539,1219.5673758865248,61.41324200913242,1218.8196347031962,1577.3945147679324,1171.951476793249,895.1915422885572,1171.1069651741293,1662.0345911949685,1150.0094339622642,915.0434083601286,1145.6993569131832,1411.9666666666667,1117.2533333333333,1902.5260416666667,1108.5729166666667,1117.0748031496064,1097.263779527559,1482.7468085106384,1089.1425531914892,2242.949567723343,1076.8400576368877,1557.144827586207,1061.355172413793,1353.3037037037036,1037.8333333333333,400.5487804878049,1004.6219512195122,1518.673285198556,1001.1714801444043,812.7794759825327,992.6222707423581,830.496282527881,985.0836431226766,649.0259067357513,975.5155440414508,1034.9223602484471,968.391304347826,947.7179930795847,957.3615916955017,984.7397003745318,946.058052434457,43.,944.7461538461539,342.0400843881857,940.3902953586498,646.4072847682119,926.3708609271523,839.4304347826087,911.695652173913,1866.8692307692309,891.5769230769231,1951.061872909699,891.4096989966555,1099.088679245283,873.2056603773585,1749.8790849673203,865.5718954248366,1291.0860058309038,815.3862973760934,1680.2681660899655,799.9256055363321,1393.54,778.784,315.66346153846155,771.6698717948718,1637.1620689655172,761.696551724138,1514.0527272727272,760.58,2296.5865384615386,716.9423076923077,1309.744,740.472,1261.9131274131273,707.0752895752896,1085.5956175298804,701.3207171314741,310.3207547169811,641.3679245283018,1135.8680555555557,565.1597222222222,1484.8508771929824,566.5350877192982,2047.5942028985505,550.1666666666666,853.7147651006711,528.6543624161073,1425.157894736842,523.5657894736842,1288.0072463768115,453.83333333333337,1280.4444444444443,416.0925925925926,1599.320987654321,356.6851851851852,1331.9235294117648,354.2294117647059,992.8977272727273,350.60227272727275,2175.1628571428573,336.4542857142857,1570.455357142857,314.8571428571429,1095.4661016949153,308.25423728813564,1575.2430555555557,256.94444444444434,1169.8877551020407,246.1224489795918,1344.4941860465117,244.44767441860472,1155.1984126984128,194.30952380952385,1509.8089430894308,145.0121951219512,2131.247252747253,141.62087912087918,1089.4782608695652,116.87681159420299,461.7083333333333,114.13194444444434,1883.2701149425288,89.8735632183907,1750.764,88.94000000000005,2045.9840764331211,74.27070063694259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,67,60.402542372881356,1250.6016949152543,82.3768656716418,1248.30223880597,896.6831683168317,1201.4851485148515,1577.108510638298,1200.4404255319148,911.246835443038,1177.51582278481,1661.4515151515152,1178.8333333333333,1412.195652173913,1150.700668896321,1902.15625,1142.640625,1116.464980544747,1130.2743190661479,1484.7569169960475,1118.3221343873518,2241.169616519174,1110.9336283185842,1556.6107266435986,1097.143598615917,1354.2316176470588,1072.5882352941176,1519.7710622710622,1035.7417582417584,401.3736059479554,1034.7379182156133,811.668776371308,1028.2721518987341,829.2960784313725,1015.6882352941177,653.144908616188,1010.8759791122716,1034.8578274760384,1003.1645367412141,948.951724137931,989.0620689655173,983.96,980.384,341.9303278688525,973.4713114754098,45.767175572519086,973.087786259542,648.3201892744479,960.2697160883281,839.1113360323886,946.9008097165993,1951.7196721311475,925.283606557377,1865.8257575757575,923.8181818181818,1093.048951048951,902.9195804195804,1748.447194719472,901.1765676567657,1290.8848396501458,850.9868804664723,1679.2578947368422,834.9526315789474,1393.3804780876494,811.8067729083666,315.6993569131833,802.644694533762,1637.4891696750904,794.471119133574,1514.3127090301002,789.8678929765886,1311.568100358423,774.3781362007169,1262.1280701754386,741.0859649122807,2293.9297520661157,732.0206611570248,1087.103448275862,737.9724137931034,2301.8703703703704,679.2592592592592,310.77777777777777,673.4166666666666,1135.3926174496644,600.6812080536913,1485.2777777777778,604.3703703703703,2052.1381578947367,585.2368421052631,851.3908045977012,562.8793103448276,1426.3136645962734,558.6180124223603,1285.1349206349207,488.6111111111111,1280.8846153846155,451.96153846153845,1599.1352201257862,393.9842767295597,1332.2659574468084,391.45744680851067,992.4411764705883,388.37254901960785,2175.251552795031,370.4627329192547,1570.8398058252428,351.3446601941747,1097.9761904761904,330.48095238095243,1575.0704697986578,293.05704697986573,1168.9851485148515,283.15346534653463,1342.6806451612904,276.60322580645163,1157.5445859872611,229.11146496815286,1510.7434782608696,176.0826086956522,2133.1736842105265,168.84736842105258,1089.3333333333333,149.51282051282055,458.8905325443787,146.4289940828403,1884.9166666666667,124.55952380952385,1751.7857142857142,122.34920634920627,2045.8828571428571,109.43142857142857,1527.454887218045,42.37969924812023,826.1280487804878,34.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,68,59.42372881355932,1282.3728813559321,84.25968992248062,1276.9806201550387,898.2962962962963,1231.912037037037,1577.613725490196,1228.7627450980392,907.2492537313433,1209.1029850746268,1660.8015384615385,1207.816923076923,1412.2933333333333,1184.2266666666667,1901.3917525773195,1176.8041237113403,1115.8053435114505,1162.9809160305344,1486.69305019305,1147.2567567567567,2239.2492063492064,1144.9349206349207,1556.1219081272084,1132.7897526501768,1354.8939393939395,1106.8977272727273,1520.729090909091,1070.1945454545455,402.1111111111111,1064.637037037037,810.8205128205128,1063.5982905982905,657.1439790575917,1045.9633507853403,827.6050583657587,1046.1070038910507,1034.4809523809524,1037.7190476190476,949.9964539007092,1020.2446808510638,983.3828451882845,1015.1401673640167,341.65748031496065,1006.3937007874016,48.843629343629345,1001.6698841698842,650.2697368421053,993.3684210526316,838.9382470119522,981.8944223107569,1952.1840277777778,959.2222222222222,1864.4457364341085,955.2868217054263,1746.778350515464,936.926116838488,1087.4847328244275,934.7862595419847,1290.8094555873924,886.4856733524355,1678.4359430604982,869.7277580071175,1393.46812749004,844.3764940239043,316.18543046357615,833.5596026490066,1637.6054545454544,827.2818181818182,1515.0672727272727,817.4454545454546,1313.3607142857143,807.7785714285715,1262.2675159235669,775.968152866242,1088.5032154340836,775.1655948553055,2289.,744.7083333333334,2298.219298245614,715.2368421052631,311.5486725663717,704.7699115044247,1486.4,642.2666666666667,1134.8955223880596,637.1119402985074,2056.8987341772154,620.1455696202531,849.6136363636364,596.9659090909091,1427.5591715976332,593.7899408284023,1282.8333333333333,522.3888888888889,1281.6025641025642,487.3974358974359,1599.3223684210527,431.4671052631579,1332.4139784946237,428.5860215053764,991.7169811320755,426.0566037735849,2175.641975308642,404.820987654321,1571.2155963302753,387.31651376146795,1099.4545454545455,353.8636363636364,1574.9178082191781,329.2534246575342,1168.1699029126214,319.9854368932039,1340.26,309.6933333333334,1160.0376344086021,263.6559139784947,1511.7935779816514,207.32568807339453,2135.5119047619046,197.21428571428578,1089.1470588235295,181.2379679144385,455.25,177.27272727272725,1886.528735632184,158.95977011494256,1753.10162601626,157.31300813008124,2045.6467391304348,145.24456521739125,1528.6031746031747,76.21428571428578,826.8714285714286,66.03142857142848,1831.,33.918750000000045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,70,899.7757009345794,1262.03738317757,1578.1332046332047,1256.8590733590734,903.4426751592357,1240.3280254777071,1660.179487179487,1236.3974358974358,1412.24,1217.1433333333334,1900.5695187165775,1210.5588235294117,1115.1129032258063,1195.2777777777778,2237.0050505050503,1178.590909090909,1488.5602409638554,1175.7409638554218,1555.7589928057555,1168.0071942446043,1355.9924242424242,1141.0681818181818,1521.7126865671642,1104.313432835821,809.7438016528926,1098.809917355372,403.2717391304348,1094.018115942029,661.0246753246753,1081.1909090909091,825.9959677419355,1076.7943548387098,1034.5501567398119,1072.1645768025078,950.5892857142857,1051.4035714285715,982.459349593496,1049.1951219512196,341.3953488372093,1038.9263565891474,51.800411522633745,1030.6069958847736,652.5268456375838,1025.6308724832215,838.7943548387096,1016.883064516129,1952.5850340136055,992.9387755102041,1862.996212121212,986.7424242424242,1745.1007194244605,972.4028776978417,1081.496282527881,965.4591078066915,1290.6464788732394,921.6718309859154,1677.6023890784984,904.2098976109215,1393.3095238095239,876.5515873015872,316.26430976430976,864.5,1637.8963636363637,860.0381818181818,1515.3214285714287,844.909090909091,1315.2100371747213,840.9312267657992,1090.1233766233765,812.2045454545455,1262.2377049180327,810.5360655737704,2290.3888888888887,741.574074074074,312.3455598455598,735.530888030888,1488.2363636363636,680.,1134.7732919254659,674.2329192546584,2061.4840425531916,655.2978723404256,847.0562913907285,630.7185430463576,1428.2581699346406,628.6699346405229,1281.4117647058824,558.3529411764706,1282.4032258064517,523.4032258064516,1599.1666666666667,468.9236111111111,1333.01,465.59000000000003,991.0619047619048,463.8047619047619,2175.934523809524,439.2380952380952,1571.5840336134454,423.23949579831935,1101.2459016393443,376.96721311475414,1574.8576642335765,365.70437956204375,1166.9326923076924,356.6442307692307,1338.63986013986,342.7097902097902,1162.6550802139038,298.0882352941177,1511.9285714285713,239.8571428571429,2137.5,226.3764044943821,1088.9309392265193,213.97513812154693,451.54571428571427,208.19142857142856,1887.9378698224853,193.15680473372777,1754.9065040650407,191.71951219512198,2045.6028571428571,180.3800000000001,1529.34,110.57999999999993,827.4880952380952,97.1190476190477,1831.3692810457517,68.59803921568619,1051.3482142857142,33.49107142857133,694.9475524475524,32.15034965034965,1168.2727272727273,22.287878787878753,1077.1913580246915,17.771604938271594,2062.2443609022557,8.026315789473756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,67,1578.3468468468468,1285.144144144144,899.4003558718862,1270.991103202847,1659.4352750809062,1264.5517799352751,1412.3657718120805,1249.8489932885907,1899.8513513513512,1244.0189189189189,1114.328244274809,1227.4503816793892,2234.7101694915254,1212.2220338983052,1490.3212765957446,1203.2446808510638,1555.0243445692884,1202.7247191011236,1356.8268482490273,1174.920233463035,1522.6705426356589,1138.0542635658915,809.1810344827586,1133.6293103448277,404.4120879120879,1123.8369963369964,664.8024523160763,1116.3637602179836,1034.2589576547232,1106.5488599348535,824.974358974359,1107.4871794871794,951.8949275362319,1082.0326086956522,981.652,1082.816,340.8709677419355,1070.6774193548388,54.68181818181818,1059.8766233766235,654.6689655172414,1057.6310344827587,838.5446428571429,1051.9598214285713,1952.807142857143,1026.2107142857144,1861.5,1017.6370967741935,1743.50390625,1007.6953125,1075.6438848920864,996.2877697841727,1290.4088319088319,956.485754985755,1676.4723183391004,938.5415224913495,1393.4203187250996,909.8545816733067,316.71379310344827,895.3482758620689,1638.2992424242425,892.594696969697,1316.8333333333333,873.764367816092,1515.7826086956522,873.2391304347826,1091.4319727891157,848.9625850340136,1262.340830449827,844.6937716262976,313.3988764044944,765.7322097378277,1489.1345177664975,716.9263959390863,1134.9743083003953,710.1482213438735,2065.4774774774774,690.0765765765766,845.164596273292,665.3633540372671,1428.9203821656051,663.9585987261147,1278.0263157894738,592.8684210526316,1599.0631067961165,506.38349514563106,990.6,501.70000000000005,1333.378048780488,502.6341463414634,2176.0263157894738,473.3245614035088,1572.0089285714287,459.2321428571429,1574.7325581395348,401.6085271317829,1103.4146341463415,399.5121951219512,1165.9639175257732,393.46907216494844,1337.0142857142857,375.92857142857144,1165.1645161290323,332.4741935483871,1512.5641025641025,272.1538461538462,2139.3,253.68888888888887,1088.1969696969697,246.05303030303025,448.1875,239.4375,1889.475155279503,227.891304347826,1756.4158878504672,225.2196261682243,2045.656462585034,215.67006802721085,1530.9597701149426,146.72988505747117,828.5714285714286,126.50793650793662,1832.159090909091,103.2954545454545,695.3787878787879,65.68181818181824,1051.0384615384614,66.40384615384619,1167.265625,56.3203125,1077.1758620689654,53.162068965517165,2063.9653465346537,39.628712871287235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,64,1412.5295081967213,1282.5229508196721,1898.8068783068784,1276.8809523809523,1113.6887550200804,1259.1385542168675,2232.043973941368,1245.6074918566776,1554.3851851851853,1237.525925925926,1492.2090163934427,1231.127049180328,1357.7403100775193,1208.8062015503876,1523.4266409266409,1171.7779922779923,808.2377777777778,1168.5711111111111,405.6647509578544,1153.0862068965516,668.7444444444444,1151.3972222222221,1034.2339743589744,1140.3846153846155,823.4823788546255,1137.9052863436123,981.1328125,1116.453125,952.994623655914,1112.105734767025,340.849593495935,1102.4837398373984,656.4967845659164,1089.9855305466237,58.15432098765432,1088.8909465020577,838.6227272727273,1086.5181818181818,1953.1550522648083,1059.5174216027874,1859.9813278008298,1048.9066390041494,1741.7470119521913,1042.9223107569721,1068.6692307692308,1026.6076923076923,1290.3367346938776,991.1122448979592,1675.3794326241134,973.1028368794326,1393.4397590361446,942.4277108433735,317.4255319148936,925.8617021276596,1638.496254681648,925.3689138576779,1318.5474452554745,906.8722627737227,1515.9746376811595,901.7391304347826,1093.0813953488373,885.5332225913621,1262.493031358885,878.266550522648,314.6226053639847,795.6455938697318,1490.0412844036698,754.4816513761468,1134.672794117647,746.1066176470588,2069.41796875,725.359375,1430.0555555555557,699.5286738351255,842.9727272727273,699.4818181818182,1274.9772727272727,627.7272727272727,1598.8861386138615,544.4108910891089,989.8333333333334,539.7708333333334,1333.60989010989,539.489010989011,2176.1927374301677,507.0586592178771,1572.0438596491229,495.5877192982456,1574.2071428571428,437.9571428571429,1165.3061224489795,430.28571428571433,1105.5357142857142,422.5,1335.5791366906474,408.45683453237405,1167.904255319149,366.1524822695036,1513.449494949495,304.31818181818187,2143.075,280.63750000000005,1087.1046511627908,278.15116279069764,445.4448275862069,270.6379310344828,1891.3834355828221,262.9601226993866,1757.4411764705883,259.3921568627452,2045.5845070422536,251.08450704225356,1533.8529411764705,180.59803921568619,829.8798449612403,158.15116279069775,1832.8076923076924,137.76153846153852,1050.2628865979382,101.35567010309273,695.4264705882352,98.70588235294122,1166.3897637795276,90.6574803149606,1076.7857142857142,88.87267080745346,2065.574074074074,70.68518518518522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,62,2229.4283489096574,1278.266355140187,1553.7607142857144,1271.7214285714285,1493.8377192982457,1259.4956140350878,1358.5151515151515,1242.4545454545455,1524.3250950570343,1205.5228136882129,807.472850678733,1202.8891402714933,672.6774647887324,1185.5450704225352,407.1060606060606,1182.7575757575758,1034.0861027190333,1174.2945619335346,822.2768924302788,1168.1573705179283,980.4812030075188,1149.8233082706768,954.1584507042254,1142.3978873239437,340.8130081300813,1134.130081300813,658.7839116719243,1121.7902208201892,838.5327102803739,1120.8504672897197,61.44285714285714,1116.1979591836734,1953.486970684039,1092.128664495114,1858.631914893617,1079.8829787234042,1739.8745019920318,1077.715139442231,1062.6642335766423,1055.565693430657,1290.0971830985916,1025.3957746478873,1674.1897810218977,1007.543795620438,1393.3695652173913,974.9347826086956,317.69032258064516,955.7387096774194,1638.5,957.3966789667898,1320.2046263345196,939.5604982206405,1516.2439446366782,930.1712802768166,1094.6391585760518,921.8236245954693,1262.8071895424837,911.7843137254902,315.98301886792456,825.9641509433962,1490.918326693227,790.7828685258964,1134.795918367347,782.0204081632653,2073.172727272727,760.0018181818182,1431.0173501577287,734.0078864353312,841.1,732.7584615384616,1273.076923076923,663.4230769230769,1598.75,582.4166666666666,988.9778761061947,577.5353982300885,1334.0046728971963,576.8644859813085,2176.4175824175823,540.6868131868132,1571.9166666666667,531.8666666666667,1573.8961038961038,474.1493506493506,1164.7586206896551,466.84482758620686,1107.2288135593221,446.00847457627117,1333.6069182389938,441.6006289308176,1169.8,400.65,1514.8389830508474,335.7033898305085,1086.452380952381,311.6071428571429,2146.1506024096384,309.87349397590367,443.04464285714283,302.90178571428567,1893.4060773480662,297.5276243093923,1758.5,293.8269230769231,2044.9405594405594,286.11538461538464,1536.2222222222222,214.24074074074065,830.7797202797203,189.0314685314686,1833.607142857143,172.20000000000005,1050.383495145631,137.21844660194165,696.0857142857143,131.96428571428578,1165.124,125.33999999999992,1076.607142857143,123.80952380952385,2066.7845528455287,102.16666666666674,2217.635135135135,6.121621621621671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
