FrameNr,NumberMidPoints,MidPointX_1,MidPointY_1,Length_1,Width_1,MidPointX_2,MidPointY_2,Length_2,Width_2,MidPointX_3,MidPointY_3,Length_3,Width_3,MidPointX_4,MidPointY_4,Length_4,Width_4,MidPointX_5,MidPointY_5,Length_5,Width_5,MidPointX_6,MidPointY_6,Length_6,Width_6,MidPointX_7,MidPointY_7,Length_7,Width_7,MidPointX_8,MidPointY_8,Length_8,Width_8,MidPointX_9,MidPointY_9,Length_9,Width_9,MidPointX_10,MidPointY_10,Length_10,Width_10,MidPointX_11,MidPointY_11,Length_11,Width_11,MidPointX_12,MidPointY_12,Length_12,Width_12,MidPointX_13,MidPointY_13,Length_13,Width_13,MidPointX_14,MidPointY_14,Length_14,Width_14,MidPointX_15,MidPointY_15,Length_15,Width_15,MidPointX_16,MidPointY_16,Length_16,Width_16,MidPointX_17,MidPointY_17,Length_17,Width_17,MidPointX_18,MidPointY_18,Length_18,Width_18,MidPointX_19,MidPointY_19,Length_19,Width_19,MidPointX_20,MidPointY_20,Length_20,Width_20,MidPointX_21,MidPointY_21,Length_21,Width_21,MidPointX_22,MidPointY_22,Length_22,Width_22,MidPointX_23,MidPointY_23,Length_23,Width_23,MidPointX_24,MidPointY_24,Length_24,Width_24,MidPointX_25,MidPointY_25,Length_25,Width_25,MidPointX_26,MidPointY_26,Length_26,Width_26,MidPointX_27,MidPointY_27,Length_27,Width_27,MidPointX_28,MidPointY_28,Length_28,Width_28,MidPointX_29,MidPointY_29,Length_29,Width_29
1,25,696.5746268656717,1479.902985074627,16.717154170120526,15.296685971274215,901.5344827586207,1368.4901477832514,17.01613728998156,15.240823811336305,842.4873949579832,1311.390756302521,19.26558477768136,15.73536581102835,812.9820717131474,1193.2091633466134,18.6118299890372,17.191278926283868,997.3634538152611,1178.734939759036,43.726173129683005,16.628136909822526,1078.6875,1099.4779411764707,19.74172350833277,17.696458846015123,1311.7323232323233,1087.5740740740741,21.038839900048135,17.99209554543807,845.5552995391705,988.7258064516129,17.67312202757814,15.653320001294128,994.4049180327869,829.4639344262295,21.227884361846556,18.304303597685276,1080.926605504587,820.7064220183486,17.246402686407464,16.087919955301942,846.0190839694657,815.6450381679389,19.24363744057675,17.347710719341407,756.0877551020408,669.6265306122449,18.84688559481755,16.564260073695408,922.294701986755,614.2417218543046,20.916317238152555,18.42465690186254,859.5339425587467,561.8002610966057,22.77930901678187,21.40733503565989,795.4601226993865,518.8282208588957,22.12300057117444,18.767265189531482,963.7271062271062,477.0164835164835,20.430785394176027,17.03247114817675,1106.27688172043,454.4301075268818,22.997118629561182,20.610567715491584,760.6906158357772,437.8665689149559,22.22176561516117,19.535401359101932,1056.3351648351647,427.2445054945056,22.578964292076304,20.530523887760097,803.1295180722891,410.9759036144578,21.24220349151758,19.931437130642955,1017.3184615384615,160.85384615384623,22.46219408424086,18.457331065405654,949.4397590361446,131.30722891566256,20.284192763417273,15.654249129473763,820.1188524590164,105.85655737704928,19.138890067610987,16.230919316465837,984.4411764705883,90.01069518716577,24.15468966505359,19.73735778637236,934.8931947069943,74.49432892249524,38.71867620144345,18.360818174228065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,25,899.7200956937799,1406.7870813397128,17.467853476330642,15.302859182372986,839.8595041322315,1351.6611570247933,18.90466414045341,16.288656158737542,995.9850894632207,1220.0506958250498,38.8670395746905,17.46670811661395,811.3705882352941,1210.4843137254902,18.73788731905858,17.32707495599541,1314.7566666666667,1128.7033333333334,21.284210789512755,17.941761772803538,1078.0017667844522,1123.97703180212,19.55499845522276,18.44205644504021,843.7162162162163,1026.5315315315315,17.914827788068596,15.817298700523107,995.4871382636655,872.1881028938907,21.23249548704836,18.692850366231283,1082.840425531915,855.2234042553191,18.427532601153956,16.249741820473584,845.5693430656934,853.5693430656934,19.772159443910784,17.646234499322322,751.9505928853755,709.7687747035573,19.152544881948884,16.83965744554473,920.2964071856287,658.1976047904192,22.554847463285345,18.857244849949037,857.8487804878049,585.7926829268292,24.11054663039254,21.654238075005278,788.8735294117647,560.1588235294117,22.033379629318684,19.650776561768975,963.3162544169611,516.8003533568905,20.706016487373088,17.415466958584656,1104.815649867374,497.09946949602124,23.222432491002394,20.682406070339454,762.1010781671159,476.2924528301887,22.942886393717373,20.60500983246389,1061.5197183098592,464.5957746478873,22.961832616525253,19.707541015177124,796.4051987767584,453.4143730886851,22.384342039985466,18.635108788583157,1018.6079545454545,201.49147727272725,23.275142763070182,19.2457341258953,947.5919540229885,172.20114942528744,20.739889404582097,16.037838145522922,817.7690763052209,145.51606425702812,19.455686896487542,16.310504621062027,986.7971576227391,132.1925064599484,24.241349911141327,20.338854483598364,933.9303797468355,115.85443037974687,38.67001547544896,19.268632826447313,933.1907894736842,41.2697368421052,21.695012708806885,17.85912392087627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,26,897.8333333333334,1444.3578431372548,16.999108960074096,15.323561353318594,836.9122807017544,1391.7938596491229,18.27948923904594,15.918798134277417,994.6416666666667,1260.9479166666667,35.790484549294334,17.845915550563248,809.3326180257511,1226.5858369098712,17.608974600676596,16.851329335290337,1317.6371237458195,1169.6070234113713,21.30846183814263,17.880889595924792,1077.8169014084508,1150.4295774647887,20.610105456334594,17.568038343815296,841.760663507109,1064.021327014218,17.612952073710435,15.283340918210987,1060.6699346405228,1062.3496732026144,16.373387186240233,11.94118273766595,996.6111111111111,914.9301075268817,20.239763853081364,17.57271417053847,845.193661971831,890.9471830985915,19.835213478192284,18.267299767927813,1084.8562753036438,889.1923076923077,18.88206890674839,16.738604384516503,747.6846153846154,749.6961538461538,19.359980151551593,17.110484602267412,918.202005730659,701.8724928366762,23.438520073246508,18.991872679667164,855.8470437017995,611.3560411311054,23.417579310299416,21.155830410804644,782.5813253012049,601.4457831325301,21.734078790316502,19.457890350278134,962.8062730627306,556.5073800738007,20.29592314744319,17.013289214736535,1103.2424657534248,539.4342465753425,22.848363325522836,20.349817827529048,763.1277173913044,514.3641304347826,23.462554825244126,19.993368236376845,1065.98,502.4028571428571,22.05305764958776,20.210806246171494,789.6065830721003,496.064263322884,22.8645769704498,17.772798745741873,1019.8186813186813,242.13186813186803,23.682303138121718,19.598533341502588,945.7595419847328,213.10687022900765,20.463543757288154,16.301958062054002,815.1572580645161,184.72580645161293,19.337155095832436,16.34186289098311,989.1005221932115,174.60704960835506,24.13465052778124,20.206085374527756,932.9928315412186,157.2150537634409,38.97509640130836,19.593000183606424,933.3456375838927,84.56711409395984,21.39432512603686,17.73870779545947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,25,896.3039215686274,1481.563725490196,17.10822024570416,15.212264483644892,833.9798206278027,1431.553811659193,17.947755805605606,15.863631725656942,992.8034623217923,1302.2128309572302,38.63749271362272,17.40124731907621,808.077868852459,1243.4918032786886,18.04992428512497,17.21047652002164,1320.713559322034,1210.1610169491526,20.88412532094579,17.988610864659947,1077.081818181818,1177.5836363636363,19.14197413810128,18.287759885602576,840.0748792270531,1101.6400966183573,17.26774829765505,15.273065703353106,1059.802564102564,1090.4948717948719,16.720767978140692,14.85302377727685,997.9490566037736,957.3943396226415,20.09395189351532,16.808289864202425,844.810606060606,928.6742424242424,19.924491726406547,16.88868464179857,1086.8800904977375,922.8665158371041,17.242972293503414,16.33728395314866,743.3587360594795,789.9200743494424,20.02853584670519,17.103158727431836,916.2528735632184,745.3879310344828,23.298919680659168,19.066265411417984,776.3459214501511,642.6722054380665,21.51005111018485,19.604039571800616,853.8061224489796,635.4642857142857,23.057035577678235,21.646422629626144,962.3339483394834,596.2343173431734,19.81626307013437,17.412399189962102,1102.921052631579,581.9016620498614,22.321059109475108,20.603043481158412,773.1065340909091,545.3877840909091,51.332319595697186,20.84021208182122,1070.2620396600566,540.514164305949,22.225879853877007,20.240247650258638,1021.0837837837838,283.,23.827181521895493,19.808314450756704,943.960966542751,254.09479553903338,20.82441373548442,16.45962120211376,812.2689243027888,223.47211155378477,19.40583505149834,16.47057539343235,991.7748691099476,216.87958115183255,24.19640358574595,20.10662676739782,932.0528169014085,198.88028169014092,40.622334095957136,19.990911086242534,933.4587301587302,127.72539682539673,21.946624523718462,18.310743811586168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,27,831.1351351351351,1470.8648648648648,17.874359898406244,15.82774414327277,991.1707566462168,1342.9110429447853,42.93951122819582,17.315250947700896,806.4673469387756,1260.369387755102,18.25231133245395,17.09755490807098,1323.8006993006993,1250.6468531468531,20.060108758800006,18.172336898697917,1076.3027210884354,1202.0306122448978,19.949846821468487,18.80309524346048,838.4227053140097,1138.6642512077294,17.263525615622857,15.261772418193505,1058.9619047619049,1117.8,16.923644386425305,15.796726386713527,999.0985130111524,999.7936802973977,20.592892400524832,16.628561569084685,844.4809160305343,966.2480916030535,19.78105467017911,16.867517630132046,1088.3509615384614,956.7163461538462,17.035419724039247,15.583453758356372,738.8457249070632,829.949814126394,20.278374021617424,16.89664309098674,914.4093484419263,788.6643059490085,23.253557761276717,19.346559425104495,770.255223880597,684.0701492537313,21.679293019534125,19.68780535967545,852.0150753768844,658.8090452261307,23.61821207931388,21.47395377512803,961.8516483516484,635.7380952380952,19.662110238800523,17.7064832609693,1102.3346883468835,624.1368563685637,22.300187823860544,21.077028349660974,770.3115015974441,584.9808306709265,39.39997664035741,20.880315676725928,1075.3011204481793,578.7605042016806,22.310499843202088,20.380050979196152,1022.3016759776536,323.70391061452506,23.14406565187858,19.707259310995838,941.9742647058823,295.22426470588243,20.623869509792325,16.816119394645153,809.1235741444867,261.9372623574145,20.166753051769504,16.61068686552346,994.4646464646464,258.0959595959596,23.84803296398757,21.153430696884662,940.7222222222222,242.10416666666674,20.729267798325953,17.716920656054764,921.1875,238.5625,21.006920890067843,17.482557887048074,933.7515151515152,171.34242424242416,22.995398977229705,18.279539927589635,971.7065573770492,46.00491803278692,22.490977686657867,17.29751508299055,1026.994011976048,19.437125748502922,22.615458187457598,18.83360749921855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,27,980.6801801801802,1390.7747747747749,18.122667537948402,15.64481968707193,997.5735930735931,1376.4004329004329,18.649289717019702,15.788985199158411,1327.2007575757575,1290.8333333333333,19.468723859894702,17.303024032529343,804.5267857142857,1275.9419642857142,17.17688598081282,16.622809315298312,1075.8985765124555,1227.2829181494662,20.37754935491677,17.58094341235893,836.5434782608696,1175.5628019323672,17.22426395705814,15.279820874646107,1058.2093596059112,1144.0714285714284,17.190523642575283,15.061728668622585,1000.2425373134329,1041.7873134328358,20.0915362982473,16.99278560527571,844.198347107438,1003.2768595041323,18.66282166926444,16.52621948459609,1090.2244897959183,990.5204081632653,16.480041627116872,15.151053331579792,734.6212121212121,869.9469696969697,20.32163583445146,16.550001773461,912.5030303030303,831.9666666666667,22.249994439839167,18.898736650051326,763.9199395770393,725.750755287009,21.380612342994574,19.721231523816744,850.2178770949721,683.0586592178771,22.103301077861335,20.626321596489905,961.3030888030888,675.469111969112,19.18993591740951,17.190469872825616,1101.813829787234,666.6090425531914,23.144799699566178,20.74052066664108,767.5394736842105,624.796052631579,28.788939709594818,20.243634871189915,1080.464705882353,616.9823529411765,21.873034641669467,19.815431472023576,1023.4553571428571,364.1934523809523,22.505303526262725,19.01815364503275,940.053903345725,336.19516728624535,20.6523354575798,16.599587232634956,997.0154639175257,299.5747422680413,23.35278307529427,21.19418527016181,805.9302325581396,300.28294573643416,19.801777339422326,16.60542393178095,940.9042553191489,282.6808510638298,20.53626081342264,17.50794607018915,919.2928571428571,281.1500000000001,20.866072375220405,17.111915026581887,933.596875,215.8125,22.315657069284956,18.266055767901094,970.6953642384105,86.02317880794703,22.266189854691497,17.296637742943748,1027.5518292682927,61.868902439024396,22.200688534885504,18.81959927147263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,29,977.474025974026,1430.9761904761904,18.507122705659206,15.931505415647448,997.1680851063829,1415.963829787234,18.574229833681617,16.10885547315701,1330.4457364341085,1330.4651162790697,19.306348529772748,17.02451123599626,803.2634854771784,1292.3298755186722,18.10457849019068,16.951815822067193,1075.3055555555557,1255.1006944444443,20.059493819837382,18.292821467991363,834.7735849056604,1212.0235849056603,17.729627177423435,15.23653353565145,1057.6291866028707,1169.1507177033493,17.287489717038678,15.408171232919171,1001.4136690647482,1083.5647482014388,20.179371958483173,17.579484528219393,843.9875,1039.5458333333333,18.40017728759407,16.661253394447694,1091.78,1024.19,16.692877371915085,15.268131681584505,730.1284584980237,909.7608695652174,19.931864682994522,16.153179571199612,910.6011904761905,875.452380952381,22.86697816957676,18.71709826447428,757.5796460176991,767.3525073746313,22.257595446435918,19.408571735224974,960.8284671532847,715.0401459854014,19.56188314958475,17.864566423586183,1101.3074074074075,709.2530864197531,24.387116496431943,21.22206777470134,848.1829268292682,707.6780487804878,24.45757184168553,21.361103839482485,766.4628571428572,665.0771428571428,22.585579371662064,19.75080541776555,1086.6289398280803,655.0730659025788,22.136427331131017,20.11541758594414,1024.5116959064328,405.2251461988303,22.768874942438188,19.125750493522926,937.887323943662,377.19366197183103,21.029603474734255,17.22086518878116,999.8815461346634,341.08852867830433,24.177328468487122,21.137352904522956,802.4540229885057,338.683908045977,19.57535608125541,16.988180405936212,917.2567567567568,323.9020270270271,21.565419073766815,17.497336049698358,941.0874587458746,323.14026402640275,21.153689140116796,18.24091916490103,933.3545454545455,260.24242424242425,22.554442743007574,18.650374520658836,969.8968253968254,126.26190476190482,22.473883805545757,17.8784136160623,1028.3309037900874,104.28717201166182,23.173434717058612,18.847920236815476,803.4017543859649,14.342105263157919,21.21694155697025,17.123196350687614,964.4846743295019,10.465517241379303,19.551398628081582,16.9977379033463
8,29,974.5181818181818,1470.659090909091,18.03869652233061,15.592967465714437,996.8955555555556,1455.4377777777777,17.696772474329613,16.19193846184898,1333.4551020408164,1369.6061224489795,18.341772766129548,17.055599010097936,802.0702127659574,1308.4744680851063,17.697022229062142,16.905322435032428,1074.4044368600682,1279.189419795222,20.514844126816808,18.237843291087724,833.0126903553299,1248.271573604061,16.94578778018537,14.814686061861474,1056.7756756756758,1193.1432432432432,16.478934757025304,14.339622809534518,1002.4514925373135,1124.9738805970148,19.584605957866923,17.46059157820848,843.461038961039,1075.8896103896104,18.00444621741748,16.358586098088757,1093.7727272727273,1057.479797979798,16.988521433259944,14.884457070200854,725.8063829787234,949.2276595744681,18.860090115254824,15.880667413384497,908.8782771535581,918.4250936329588,19.714360254943134,17.263932875335144,750.7978056426332,808.7163009404388,21.541560736967575,18.885577714432475,960.3961538461539,754.8807692307693,19.12592478977021,17.313816208603,1100.6928020565554,751.7827763496144,23.67319734162432,20.978840190527954,846.2884615384615,730.5384615384615,22.07476076076513,21.011990717755214,764.60407239819,704.2669683257918,28.05078683813849,20.424075860745095,1092.923976608187,692.7894736842105,21.720692980031973,20.057678507011467,1025.7928348909657,446.132398753894,22.23084980834528,18.38324408604091,935.953488372093,418.06201550387595,19.804638027565506,16.59521300741996,1002.9973684210527,382.6500000000001,23.609082338014982,20.50464810811712,799.0944881889764,377.50787401574803,19.75320239467988,16.375449424168856,915.2071428571429,366.7285714285715,21.225225071462624,16.807190645686376,941.3551724137931,363.548275862069,20.784049270479322,17.795254877638037,933.2337662337662,304.91558441558436,21.529304890524255,18.225695962544492,968.8040540540541,166.4020270270271,21.48231711853435,17.56105929586021,1029.0368098159508,146.8159509202453,22.66290087331426,18.312583978729737,798.4618320610687,53.38931297709928,20.043703316190985,16.65226105991073,963.5156862745098,45.6882352941177,18.937998838677874,17.156173343731133
9,29,1336.3593155893536,1408.7053231939165,19.422094232599104,17.255301584321032,800.1327433628319,1323.4911504424779,17.289989758250933,16.667321830199292,1073.6821305841925,1303.5309278350514,20.869907869815638,17.78442509443656,831.4423076923077,1284.173076923077,17.35560991164798,15.275051007866757,1056.0882352941176,1215.964705882353,16.601006039641458,13.04935360903585,1003.5,1166.2046263345196,20.261041421560783,17.69155357877519,843.1,1112.0489361702128,18.184081733398777,16.461444450756176,1095.8732057416269,1090.1842105263158,16.65613075323603,15.976446028771251,721.3870967741935,988.5120967741935,19.351875917255363,16.329526682281262,907.2061068702291,961.5572519083969,19.5989915054247,17.029007647518636,744.2283236994219,850.1763005780347,22.298118919476156,19.760562137875397,1099.9502487562188,794.7412935323383,24.28002598449102,21.110859245716263,959.8102189781022,794.5802919708029,19.451171184296886,17.930367224763323,844.6142857142858,753.4636363636364,23.185494576834135,21.135803394487926,762.960370994941,744.3128161888701,39.78070939152155,20.232680687540764,1098.9831460674156,729.9044943820224,21.992425978162267,20.636027594806798,1026.8478260869565,486.7028985507246,23.09524603930428,19.039946041720583,933.9521072796935,458.668582375479,19.958553754743868,16.65194636381283,1005.9885496183206,423.93511450381675,24.15804439318944,20.720700304209945,796.2692307692307,416.0824175824175,20.41625909468616,17.040875424176058,913.2114093959732,409.3422818791946,21.48644127971899,17.66537222092154,941.6704918032787,403.8836065573771,21.122713028950404,18.440377348004926,933.0181818181818,349.4909090909091,22.689113350589057,18.527226717846435,967.9904458598726,206.6496815286623,21.736181819141247,18.38910977125091,1029.7397660818713,188.99122807017534,23.063137286093482,18.906074918884045,793.5524475524476,92.0874125874127,21.21641178746422,17.182434783932013,963.2619047619048,81.1031746031747,18.977001719198945,16.963149390475824,983.3617283950617,44.40370370370374,24.630643426501965,20.95139811084686,827.860655737705,26.12295081967204,10.891591577613143,7.701460676084325
10,29,1339.2738095238096,1447.142857142857,18.62739916087863,17.239727640484258,798.9311111111111,1339.1355555555556,17.673270588920932,16.244691912522004,1073.2490774907749,1330.9354243542434,19.329613904403686,17.87390316179234,829.6188118811881,1319.549504950495,16.978623111858116,15.148633177746335,1055.6709401709402,1238.1068376068376,15.408558769687346,9.65975025377429,1004.4256505576208,1207.1877323420074,19.836802970700248,17.270357970518692,842.9912280701755,1147.842105263158,17.98668234468451,16.213764296438704,1097.377659574468,1122.5691489361702,16.13148008601431,14.84285801262098,717.2489177489177,1027.5,18.42032477820618,16.001456017503628,905.5569105691056,1004.2073170731708,18.660079109278012,16.81381031030705,737.5798722044728,891.4520766773163,20.892352636467916,19.081049154673863,1098.9945054945056,837.4725274725274,22.895759832542566,20.236844234689052,959.2890625,834.18359375,19.10888021294057,17.06163756221434,749.5070921985815,792.3581560283687,20.368883897746773,17.64239024852912,843.,778.,22.751940633569575,20.58918198466928,771.6277258566978,777.8644859813085,20.738072920068802,19.735176030016422,1103.960843373494,767.5331325301205,20.90920090146959,20.231595054128256,1027.9520958083833,527.4041916167664,22.933327354082557,18.55462532969531,931.9579831932773,499.5420168067227,18.81430258421427,16.11562670961891,1009.0093333333333,465.356,23.392162211191767,20.407684271066028,793.3235294117648,454.4568627450981,19.168290341939034,16.955350082626204,911.0851063829788,451.9680851063829,21.069932985373033,17.067560575752413,942.0087108013937,444.0993031358885,20.237820124291805,18.083812042915497,933.,394.29113924050625,21.88145761337603,18.381265904499735,966.9352159468439,246.76245847176074,21.131976425408368,18.141319656828504,1030.4486404833838,231.29758308157102,22.415185386646122,18.817394238843665,788.6985018726592,130.9681647940074,20.38518075814473,16.68635508422915,962.4920948616601,116.07707509881425,19.076069464425984,16.902639569014898,983.6193633952255,78.95888594164467,23.529996470551595,20.445552030790125
