FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y,MidPoint_16_x,MidPoint_16_y,MidPoint_17_x,MidPoint_17_y,MidPoint_18_x,MidPoint_18_y,MidPoint_19_x,MidPoint_19_y,MidPoint_20_x,MidPoint_20_y,MidPoint_21_x,MidPoint_21_y,MidPoint_22_x,MidPoint_22_y,MidPoint_23_x,MidPoint_23_y,MidPoint_24_x,MidPoint_24_y,MidPoint_25_x,MidPoint_25_y,MidPoint_26_x,MidPoint_26_y,MidPoint_27_x,MidPoint_27_y,MidPoint_28_x,MidPoint_28_y,MidPoint_29_x,MidPoint_29_y,MidPoint_30_x,MidPoint_30_y,MidPoint_31_x,MidPoint_31_y,MidPoint_32_x,MidPoint_32_y,MidPoint_33_x,MidPoint_33_y,MidPoint_34_x,MidPoint_34_y,MidPoint_35_x,MidPoint_35_y,MidPoint_36_x,MidPoint_36_y,MidPoint_37_x,MidPoint_37_y,MidPoint_38_x,MidPoint_38_y,MidPoint_39_x,MidPoint_39_y,MidPoint_40_x,MidPoint_40_y,MidPoint_41_x,MidPoint_41_y,MidPoint_42_x,MidPoint_42_y,MidPoint_43_x,MidPoint_43_y,MidPoint_44_x,MidPoint_44_y,MidPoint_45_x,MidPoint_45_y,MidPoint_46_x,MidPoint_46_y,MidPoint_47_x,MidPoint_47_y,MidPoint_48_x,MidPoint_48_y,MidPoint_49_x,MidPoint_49_y,MidPoint_50_x,MidPoint_50_y,MidPoint_51_x,MidPoint_51_y,MidPoint_52_x,MidPoint_52_y,MidPoint_53_x,MidPoint_53_y,MidPoint_54_x,MidPoint_54_y,MidPoint_55_x,MidPoint_55_y,MidPoint_56_x,MidPoint_56_y,MidPoint_57_x,MidPoint_57_y,MidPoint_58_x,MidPoint_58_y,MidPoint_59_x,MidPoint_59_y,MidPoint_60_x,MidPoint_60_y,MidPoint_61_x,MidPoint_61_y,MidPoint_62_x,MidPoint_62_y,MidPoint_63_x,MidPoint_63_y,MidPoint_64_x,MidPoint_64_y,MidPoint_65_x,MidPoint_65_y,MidPoint_66_x,MidPoint_66_y,MidPoint_67_x,MidPoint_67_y,MidPoint_68_x,MidPoint_68_y
1,59,650.6366666666667,1287.2733333333333,1717.5664556962026,1256.370253164557,813.0082508250825,1190.1996699669967,1954.6079365079365,1173.515873015873,1630.3885350318471,1169.7261146496814,815.5714285714286,1145.751552795031,2105.4156626506024,1131.2168674698796,964.8364779874214,1120.4119496855346,1966.9779874213837,1096.4308176100628,854.5833333333334,1004.4598765432099,1807.1946107784431,1000.6107784431138,187.5731707317073,992.359756097561,779.2356687898089,964.6942675159236,873.9553846153846,948.4784615384615,633.1981132075472,945.4779874213837,1254.3765060240964,943.4518072289156,1634.4030303030304,892.4181818181819,755.8529411764706,891.249226006192,1059.240506329114,866.253164556962,660.6378205128206,854.3397435897436,799.1645569620254,842.1677215189873,1497.8834808259587,841.146017699115,1676.1568047337278,759.612426035503,907.8992673992674,703.2399267399268,60.6128526645768,700.8949843260189,2147.2611940298507,643.9701492537314,1982.5731707317073,643.7764227642276,2308.551194539249,639.5853242320819,1779.0336322869955,624.4103139013453,2073.641666666667,620.3458333333333,968.3111111111111,607.5833333333334,910.7921348314607,574.4269662921348,1815.6076233183855,559.2533632286995,1075.7857142857142,523.9438775510204,216.46103896103895,471.2229437229437,2158.457264957265,458.55555555555554,2059.9837398373984,450.1016260162602,695.6455399061033,437.45305164319245,999.7789473684211,407.1526315789474,821.3140703517588,401.0376884422111,859.209090909091,391.2681818181818,991.0025906735751,345.45854922279796,534.4009433962265,319.11792452830184,1044.9321608040202,290.2286432160804,903.7634146341463,288.319512195122,1145.5639269406392,269.65068493150693,774.268472906404,248.076354679803,562.0495495495495,214.81081081081084,614.6614349775784,213.31165919282512,717.617903930131,169.10262008733616,1040.8205741626793,164.06937799043067,1493.6189427312775,151.73348017621151,135.07254901960783,149.13137254901972,454.0643153526971,113.65767634854774,1508.1435185185185,109.98611111111109,387.7330508474576,102.29237288135596,1712.8719008264463,84.61570247933878,902.9136363636363,42.60454545454536,822.1635944700461,28.089861751152057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,59,813.9040404040404,1227.0218855218855,1954.359477124183,1209.8823529411766,1630.0244299674266,1205.5228013029316,816.5653594771242,1182.8366013071895,2104.639751552795,1166.950310559006,966.0064516129032,1157.3903225806453,1965.9888178913739,1133.4361022364217,855.2974683544304,1040.9651898734178,1807.078947368421,1037.202786377709,189.27272727272728,1028.5333333333333,780.4213114754099,1001.9360655737705,874.7507936507936,986.8809523809524,634.0774193548388,983.1322580645161,1253.5426829268292,981.2530487804878,1634.2507788161993,929.7274143302182,757.2142857142857,929.1031746031746,1060.4490445859872,904.4331210191083,661.5129449838188,891.9627831715211,799.44375,880.46875,1497.209480122324,878.7415902140673,1676.5240240240241,797.5,908.5289855072464,742.322463768116,60.514925373134325,739.5835820895522,1982.5975609756097,682.2595818815331,2147.5582191780823,681.7602739726027,2307.871335504886,677.4543973941368,1779.496015936255,662.5717131474104,2073.2849056603773,658.0283018867924,968.9254143646409,646.7541436464088,911.3545454545455,613.4212121212121,1815.6408450704225,597.5140845070423,1076.7865168539327,562.1685393258427,216.49074074074073,508.6064814814815,2158.8333333333335,496.7972972972973,2060.1163793103447,487.5818965517242,697.6065989847716,474.5913705583756,1000.5346820809249,446.24566473988443,821.8879781420765,439.6639344262295,860.2064676616916,430.136815920398,991.7762430939226,384.54419889502765,534.679104477612,357.25124378109456,1045.3360655737704,328.5,904.021052631579,327.5157894736842,1146.4560975609756,308.2560975609756,774.6595744680851,286.6010638297872,562.5805687203791,252.74644549763025,614.5,251.33574879227058,718.0471698113207,207.43396226415098,1041.7686567164178,203.5547263681592,1496.2524271844661,190.3203883495146,134.72764227642276,185.93089430894315,454.3274336283186,151.79203539823015,1508.271144278607,147.8681592039802,386.9222222222222,140.0866666666666,1713.3608695652174,122.52173913043475,903.4668246445498,81.6374407582939,822.9805825242719,66.31067961165058,1698.6744680851064,40.44468085106382,2149.8870967741937,10.665322580645125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,62,814.8436426116839,1263.8024054982818,1953.6151315789473,1246.1611842105262,1629.4372937293729,1240.9917491749175,817.4197324414715,1219.9615384615386,2103.555384615385,1202.4907692307693,967.0816993464052,1193.7941176470588,1965.0250836120401,1170.2257525083612,855.7324840764331,1077.4108280254777,1806.8703703703704,1073.888888888889,191.04103343465044,1064.6215805471124,781.6162790697674,1038.812292358804,875.7225806451613,1024.8451612903227,635.0643564356436,1020.529702970297,1252.7625,1018.825,1634.006289308176,966.9150943396227,758.371382636656,966.8440514469453,1061.516129032258,942.5193548387097,662.6056105610561,929.3679867986798,799.9376996805112,918.723642172524,1496.4717868338557,916.2711598746082,1676.7604790419161,835.5389221556886,909.3197879858657,781.386925795053,60.34438040345821,778.0792507204611,1982.516393442623,720.5819672131148,2147.6575562700964,719.5225080385852,2306.946875,715.40625,1779.7909698996655,700.3461538461538,2072.926116838488,695.4072164948453,969.5706319702603,686.1245353159851,911.7402234636871,652.745810055866,1815.5590909090909,636.0454545454545,1077.8463687150838,600.5502793296089,216.67535545023696,545.9881516587677,2159.361751152074,535.0391705069125,2060.29203539823,525.1637168141593,699.660621761658,511.8730569948186,1001.625,485.68452380952385,822.4602272727273,478.3636363636364,861.24,468.98,992.5059880239521,423.9730538922156,535.1288659793814,395.4432989690722,904.5108108108108,366.6675675675675,1045.83908045977,366.91379310344826,1147.2474747474748,347.030303030303,774.7741935483871,325.2849462365591,563.0833333333334,290.93627450980387,614.5148514851485,289.4207920792079,718.4215686274509,245.92647058823536,1042.5816326530612,243.07653061224482,1499.0073170731707,228.99756097560976,134.51716738197425,222.9678111587982,454.5,189.96222222222218,1508.159793814433,185.54123711340208,386.16820276497697,177.98847926267285,1713.7522123893805,160.570796460177,904.1844660194175,120.67475728155341,824.059405940594,104.73267326732685,1699.2772925764193,77.6834061135371,2150.5247933884298,48.91735537190084,422.6991150442478,46.95132743362842,382.23777777777775,41.94444444444434,888.3181818181819,35.57655502392345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,62,1953.2009646302251,1282.146302250804,1629.121794871795,1276.1666666666667,818.4064516129032,1256.7967741935483,2102.493902439024,1237.7256097560976,968.3225806451613,1230.3548387096773,1963.7179487179487,1206.6698717948718,856.5398773006135,1113.573619631902,1806.8424242424242,1110.1060606060605,192.81306990881458,1100.627659574468,782.916129032258,1075.725806451613,876.7018633540373,1062.692546583851,635.9227129337539,1057.5694006309147,1252.2232142857142,1056.154761904762,759.675,1004.34375,1633.8507692307692,1003.8507692307692,1062.6565495207667,980.3785942492013,663.5865384615385,966.6217948717949,800.4938271604939,956.8364197530864,1495.9229607250754,953.487915407855,1677.189349112426,873.3254437869823,910.1048951048951,820.3251748251748,60.5252808988764,816.6460674157304,1982.421686746988,758.7289156626506,2147.76409495549,757.259643916914,2305.878698224852,753.1952662721893,1780.121875,738.396875,2072.5255591054315,732.7172523961661,970.41875,724.45,912.1436781609195,691.6149425287356,1815.3741007194244,674.4784172661871,1078.7623762376238,638.8861386138614,216.7927927927928,583.4099099099099,2159.697424892704,573.4356223175965,2060.2818930041153,562.701646090535,701.5780487804878,549.1731707317073,1002.5648648648648,525.1378378378379,822.782722513089,516.9293193717277,862.3133971291866,507.9880382775119,993.1243386243386,463.29894179894177,535.4857819905213,433.542654028436,904.845,405.775,1046.080310880829,405.13212435233163,1148.1898148148148,385.60185185185185,774.915,363.62,563.6826484018264,328.83333333333337,614.3826291079812,327.6220657276996,718.6711711711712,284.1846846846847,1043.589552238806,282.1318407960199,1501.880281690141,267.57511737089203,134.07370517928288,259.91035856573694,454.6271186440678,227.90254237288127,1508.1146341463414,223.33414634146334,385.4913793103448,215.8060344827586,1714.425,198.4666666666667,904.8333333333334,159.5090090090091,824.8842592592592,142.99074074074065,1699.6776859504132,114.94628099173565,2151.0115384615383,87.05769230769238,422.56302521008405,85.11344537815125,381.83474576271186,79.61016949152531,889.26,73.54444444444448,762.4234449760766,21.629186602870732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,65,2101.388198757764,1272.7919254658384,969.4463722397477,1266.3675078864353,1962.4025974025974,1243.1525974025974,857.3676923076923,1149.5215384615385,1806.4938271604938,1146.2530864197531,194.69325153374234,1136.2944785276075,784.2443365695793,1112.3381877022653,877.7476489028213,1100.2962382445141,637.1559485530547,1094.355305466238,1251.4727272727273,1093.4878787878788,761.3266253869969,1041.5588235294117,1633.640625,1040.625,1063.7056962025317,1018.246835443038,664.83125,1003.50625,801.0174603174603,994.573015873016,1495.2537993920973,990.5,1677.3914956011731,910.9868035190616,910.8183391003461,859.0709342560554,60.752808988764045,855.0589887640449,1982.1096096096096,796.9744744744744,2147.5467836257308,794.8888888888889,2304.862857142857,790.5799999999999,1780.295918367347,776.1413994169096,2072.0014836795253,769.9391691394659,971.2575757575758,763.4272727272727,912.6724137931035,730.1896551724138,1815.3885350318471,712.5923566878981,1079.7992424242425,677.560606060606,217.27391304347827,620.7869565217392,2160.0958333333333,611.625,2060.2137096774195,600.0967741935484,703.5094786729858,586.5379146919431,1003.3297872340426,564.2978723404256,823.3238341968912,555.4896373056995,863.4295774647887,546.744131455399,993.8789473684211,502.5526315789474,536.0502392344498,471.57177033492826,905.1666666666666,445.030303030303,1046.408163265306,443.38775510204084,1149.1712962962963,424.16203703703707,775.0522388059702,402.181592039801,564.1866359447005,366.94700460829495,614.3279069767442,365.60232558139535,719.0318181818182,322.6045454545455,1044.6365853658538,321.33414634146345,1504.5228310502282,306.08447488584477,133.71544715447155,296.7154471544716,454.9273858921162,265.84024896265555,1508.123188405797,261.02657004830917,384.64529914529913,253.67521367521363,1714.8456790123457,236.45473251028807,905.4683257918552,198.61312217194563,825.7790697674419,181.1651162790697,1700.4670781893003,152.1213991769548,2151.63671875,125.1484375,422.4668049792531,123.27593360995843,381.4491525423729,117.43220338983042,889.8422222222222,111.3844444444444,762.3181818181819,60.404306220095805,1000.892523364486,40.07943925233644,584.8259911894273,33.28414096916299,1087.659090909091,31.931818181818244,673.59243697479,25.268907563025323,2107.635458167331,22.886454183267006,1231.9405286343613,19.99339207048456,NaN,NaN,NaN,NaN,NaN,NaN
6,66,1960.9867549668875,1279.1754966887418,858.1184615384616,1185.3646153846155,1806.3509316770187,1182.0496894409937,196.8926380368098,1171.680981595092,785.5031847133758,1148.7643312101911,878.8146417445483,1137.771028037383,638.2587301587301,1131.1984126984128,1250.6666666666667,1130.4351851851852,762.5948012232416,1078.545871559633,1633.334375,1077.271875,1065.0492063492063,1055.8650793650793,666.1081504702195,1040.6128526645768,801.565625,1032.446875,1494.5151057401813,1027.4577039274925,1677.4909365558913,948.5574018126888,911.6740614334472,897.660409556314,61.11281337047354,893.1935933147632,1981.7581602373887,834.8501483679524,2147.585798816568,832.4674556213017,2303.6101694915255,828.0197740112994,1780.4735294117647,813.9264705882354,2071.263473053892,807.1916167664671,972.0921450151058,802.0589123867069,913.3547297297297,769.1385135135135,1815.063076923077,750.8907692307693,1080.7367601246106,715.4252336448598,217.67557251908397,658.4312977099237,2160.276515151515,650.0492424242424,2059.9827586206898,637.9137931034483,705.6455399061033,623.8708920187794,1004.2801047120419,603.7146596858639,823.8299492385787,594.0177664974619,864.5233644859813,585.6728971962617,994.6510416666666,541.953125,536.3232558139534,509.7372093023256,905.8069306930693,484.0693069306931,1046.7914572864322,481.5854271356784,1150.006976744186,462.9372093023255,775.1633663366337,440.6287128712871,564.7443438914028,404.7714932126697,614.2441860465116,403.7790697674419,719.1743119266055,361.0229357798165,1045.5,361.,1507.4723502304148,344.758064516129,133.4,333.5375,455.24568965517244,304.1120689655172,1507.9903846153845,298.8605769230769,383.80042918454933,291.55150214592277,1715.3530612244897,274.4183673469388,906.12100456621,237.6324200913241,826.7350230414746,219.3940092165899,1701.,189.45081967213105,2152.110038610039,163.4729729729729,422.1597510373444,161.25933609958497,381.031914893617,155.17659574468075,890.6283185840708,149.3716814159293,762.1476190476191,99.10952380952381,1001.9433962264151,79.16509433962256,584.4563318777292,71.28165938864618,1088.3990825688074,70.6467889908256,673.3686440677966,64.44915254237299,2108.367469879518,61.3393574297188,1231.548245614035,57.69298245614027,2037.421875,40.78125,891.0142857142857,40.147619047618946,2301.5451388888887,12.479166666666742,NaN,NaN,NaN,NaN
7,65,858.9025559105431,1220.8099041533546,1805.8271604938273,1217.7438271604938,198.91358024691357,1206.9506172839506,787.0166666666667,1185.0833333333333,879.959807073955,1175.1109324758843,639.3932038834952,1167.6974110032363,1249.940251572327,1167.2987421383648,764.1006289308176,1115.5220125786163,1632.897476340694,1113.6514195583595,1066.2564102564102,1093.3141025641025,667.2626582278481,1077.2056962025317,802.2507987220447,1069.7907348242811,1493.8252279635258,1064.095744680851,1677.6556886227545,985.7485029940119,912.5763888888889,936.34375,61.55882352941177,931.2647058823529,1981.3438438438438,872.7792792792793,2147.2844311377244,869.9191616766467,2302.0852272727275,865.4857954545455,1780.4582089552239,851.6671641791045,2070.62084592145,844.3338368580061,972.8803680981595,840.680981595092,913.8493150684932,807.8493150684931,1814.767857142857,788.6130952380952,1081.7666666666667,753.7730158730159,218.28758169934642,695.6732026143791,2160.4690721649486,688.1838487972509,2059.6973244147157,675.2190635451504,707.5759493670886,661.3860759493671,1005.2551020408164,642.9795918367347,824.59375,632.734375,865.6904761904761,624.5238095238095,995.4657142857143,581.2257142857143,536.8774509803922,547.7892156862745,906.1105263157895,523.3421052631579,1047.1666666666667,519.9354838709677,1150.9417475728155,501.70873786407765,775.3350515463917,479.19587628865975,565.3,442.8380952380952,614.1213592233009,441.79126213592235,719.5648148148148,399.41666666666663,1046.5732984293193,400.21727748691103,1510.2692307692307,383.0817307692307,133.1344537815126,370.4117647058823,455.37336244541484,342.07205240174676,1507.7422680412371,336.5618556701031,383.2488789237668,329.4461883408072,1715.7798353909466,312.19547325102883,906.7439024390244,276.3829268292684,827.7401960784314,257.5980392156862,1701.6181434599157,226.6392405063291,2152.707171314741,201.59561752988043,421.95064377682405,199.39270386266094,380.52164502164504,192.79437229437235,891.4636363636364,187.42272727272734,761.9685990338164,137.97826086956525,1002.9417475728155,118.26699029126212,584.2345132743363,109.47345132743362,1089.3904761904762,109.18571428571431,673.0044247787611,103.41592920353992,2109.069105691057,99.95528455284557,1231.2272727272727,95.71818181818185,2037.7862903225807,78.91935483870975,891.7634146341463,78.18780487804884,2302.5565371024736,50.11484098939923,NaN,NaN,NaN,NaN,NaN,NaN
8,67,859.7950819672132,1256.1459016393442,1805.4326923076924,1253.0320512820513,201.2388535031847,1242.2547770700637,788.3892617449665,1221.0906040268455,881.12,1212.1666666666667,640.6644295302013,1204.0570469798658,1249.457654723127,1203.9364820846906,765.5322580645161,1152.3258064516128,1632.5590163934426,1149.97868852459,1067.3791946308725,1130.489932885906,668.4638157894736,1113.75,802.9252491694352,1107.4003322259136,1493.0968253968254,1100.6555555555556,1677.7080745341616,1023.1459627329193,913.5212765957447,974.6099290780141,62.04755043227666,969.2608069164265,1980.8829787234042,910.5577507598784,2147.0412844036696,907.2951070336392,2300.664739884393,902.8554913294797,1780.5674846625766,889.2208588957055,2069.6723076923076,881.3923076923077,973.6987577639752,879.2018633540372,914.4786476868327,846.5427046263345,1814.484802431611,826.6762917933131,1082.8471337579617,791.484076433121,218.83546325878595,732.6884984025559,2160.428327645051,726.1894197952219,2059.4774193548387,712.6032258064516,709.8274647887324,698.4894366197183,1006.3804780876494,682.7948207171315,825.1943231441048,671.6834061135371,866.8539823008849,663.5884955752213,996.2735849056604,620.7955974842768,537.5055248618785,585.9475138121547,906.6927710843373,562.2168674698795,1047.6736526946108,558.2005988023952,1151.8678756476684,540.401554404145,775.5552486187845,517.6657458563536,565.8659793814433,480.91752577319585,614.247311827957,479.7741935483871,1047.5409356725147,439.7163742690059,719.891959798995,437.8015075376884,1512.9205128205128,421.7051282051282,132.71428571428572,407.5,455.561320754717,380.11792452830184,1507.522346368715,374.5558659217877,382.3647342995169,367.268115942029,1716.3017621145375,350.3237885462555,907.4214659685864,315.4214659685864,828.5372340425532,296.01063829787233,1702.25,263.82727272727266,2153.1208333333334,239.85833333333335,421.78054298642536,237.50904977375558,380.1839622641509,230.35849056603774,892.17,225.365,761.9108108108109,176.74324324324334,1004.0163043478261,157.304347826087,583.9778325123152,147.7955665024631,1090.3342245989304,148.0133689839572,672.7248803827752,142.7488038277511,2109.6434782608694,138.5521739130436,1230.8819095477386,133.6005025125628,2038.2787234042553,116.95531914893627,892.2555555555556,116.52222222222213,2303.4962962962964,87.77777777777783,391.6377777777778,40.193333333333385,526.7850467289719,40.64953271028048,NaN,NaN
9,68,1804.8601286173634,1288.4003215434084,203.4240506329114,1277.253164556962,789.9067796610169,1257.0118644067798,882.3187702265373,1249.0663430420711,1248.641955835962,1240.4085173501578,641.9883720930233,1240.2076411960134,767.1796116504854,1189.0598705501618,1632.1943521594685,1186.0249169435215,1068.687702265372,1167.5129449838187,669.7899022801303,1150.099348534202,803.4153094462541,1144.513029315961,1492.2223974763408,1137.2539432176657,1677.8333333333333,1060.0015015015015,914.5104895104895,1012.8391608391609,62.947592067988666,1007.1118980169972,1980.4634146341464,948.344512195122,2146.524096385542,944.4759036144578,2299.1210826210827,939.9501424501425,1780.4848484848485,926.6181818181818,2068.8180428134556,918.2584097859327,974.7257053291536,917.6316614420062,915.1405693950178,885.0622775800712,1813.9743202416919,864.5453172205438,1084.0329153605016,829.3369905956113,219.58656716417912,769.8402985074626,2160.38198757764,764.2670807453416,2059.030303030303,750.1757575757575,712.0752508361204,735.1053511705686,1007.4120521172639,721.7671009771987,825.7182410423453,709.8680781758958,868.,702.3612903225807,997.0268292682927,660.4317073170731,538.0441176470588,624.1715686274509,907.085635359116,601.6270718232045,1048.139344262295,596.5382513661202,1152.856783919598,579.213567839196,775.8439153439153,556.3465608465608,566.3786407766991,519.0145631067961,614.181592039801,518.0870646766169,1048.65,479.3222222222222,720.1617647058823,476.2990196078431,1515.7821782178219,460.3168316831683,132.4698275862069,444.47413793103453,455.75454545454545,418.2863636363636,1507.2486910994764,412.48952879581157,381.6162790697674,405.1697674418605,1716.7164502164503,388.43506493506493,908.1127450980392,354.4460784313726,829.5204081632653,334.3163265306123,1702.7723404255319,301.1297872340425,2153.5956175298807,278.0258964143426,421.6189427312775,275.7114537444934,379.71777777777777,268.22888888888883,892.9705882352941,263.3676470588234,761.8673469387755,215.69387755102048,1004.9869109947643,196.4738219895287,1091.180412371134,186.75257731958754,583.5666666666667,186.02380952380963,672.5045248868778,181.78054298642542,2110.4025423728813,177.17372881355936,1230.5666666666666,171.6428571428571,2038.4754098360656,155.17622950819668,892.8265306122449,154.67346938775518,2304.55376344086,125.5322580645161,391.87391304347824,78.4304347826087,526.6294642857143,78.70089285714289,1108.8034825870648,33.20149253731347,1968.3879668049792,20.271784232365235
10,65,883.3402555910543,1285.4488817891374,1247.8174603174602,1276.6460317460317,643.3209459459459,1276.0033783783783,768.7594936708861,1225.386075949367,1631.6601307189542,1221.937908496732,1069.842019543974,1204.3371335504885,671.2378640776699,1186.3090614886733,804.0254237288135,1181.3610169491526,1491.43690851735,1173.2413249211356,1677.9204204204204,1096.9774774774774,915.2744107744107,1051.1902356902356,63.690751445086704,1044.670520231214,1979.8723723723724,985.9894894894894,2146.0272727272727,981.5696969696969,2297.6057142857144,976.9371428571428,1780.4908814589667,963.8130699088147,975.6284403669724,955.7752293577981,2067.8462686567163,954.9626865671642,915.7789115646259,923.5136054421769,1813.4728096676738,902.1102719033233,1085.122699386503,867.4447852760736,220.5762195121951,806.9969512195122,2160.2103658536585,802.359756097561,2058.6878612716764,787.1098265895954,714.3395061728395,772.3364197530864,1008.4184952978056,760.8605015673982,826.5225806451613,748.4354838709677,869.3746081504702,740.9075235109718,997.7263513513514,699.7364864864865,538.5962343096235,662.5334728033473,907.763440860215,640.7849462365591,1048.6191709844559,634.9093264248704,1153.7878048780487,617.9878048780488,775.9869109947643,594.8664921465969,567.0358851674641,557.0167464114833,614.2560975609756,556.1536585365853,1049.616402116402,518.7539682539683,720.4377990430622,514.8971291866029,1518.3,498.99523809523805,132.37445887445887,481.43506493506493,456.02252252252254,456.3918918918919,1507.2070707070707,450.469696969697,380.97685185185185,443.2222222222222,1717.2941176470588,426.32352941176475,908.9567307692307,393.63461538461536,830.4203980099503,372.6840796019901,1703.402953586498,338.44092827004215,2154.0551181102364,316.2047244094488,421.4570815450644,313.8476394849786,379.3590308370044,306.02863436123346,893.7200956937799,301.3995215311005,761.8692307692307,254.5923076923077,1005.9896907216495,235.69072164948443,1092.08,225.42000000000007,583.2547169811321,224.16509433962256,672.1968325791855,220.7760180995474,2111.1276150627614,215.73430962343105,1230.0598086124403,209.6483253588517,2039.0569105691056,193.19918699186996,893.2474747474747,193.00505050505058,2305.6103202846975,163.39323843416378,392.43562231759654,116.59871244635201,526.652466367713,116.76905829596421,1109.4950738916257,71.59359605911322,1969.108163265306,58.512244897959135,NaN,NaN,NaN,NaN,NaN,NaN
