FrameNr,NumberMidPoints,MidPointX_1,MidPointY_1,Length_1,Width_1,MidPointX_2,MidPointY_2,Length_2,Width_2,MidPointX_3,MidPointY_3,Length_3,Width_3,MidPointX_4,MidPointY_4,Length_4,Width_4,MidPointX_5,MidPointY_5,Length_5,Width_5,MidPointX_6,MidPointY_6,Length_6,Width_6,MidPointX_7,MidPointY_7,Length_7,Width_7,MidPointX_8,MidPointY_8,Length_8,Width_8,MidPointX_9,MidPointY_9,Length_9,Width_9,MidPointX_10,MidPointY_10,Length_10,Width_10,MidPointX_11,MidPointY_11,Length_11,Width_11,MidPointX_12,MidPointY_12,Length_12,Width_12,MidPointX_13,MidPointY_13,Length_13,Width_13,MidPointX_14,MidPointY_14,Length_14,Width_14,MidPointX_15,MidPointY_15,Length_15,Width_15,MidPointX_16,MidPointY_16,Length_16,Width_16,MidPointX_17,MidPointY_17,Length_17,Width_17,MidPointX_18,MidPointY_18,Length_18,Width_18,MidPointX_19,MidPointY_19,Length_19,Width_19,MidPointX_20,MidPointY_20,Length_20,Width_20,MidPointX_21,MidPointY_21,Length_21,Width_21,MidPointX_22,MidPointY_22,Length_22,Width_22,MidPointX_23,MidPointY_23,Length_23,Width_23
1,7,1117.9243421052631,1416.6513157894738,20.221976416751755,19.188347709114414,749.3857142857142,1379.9507936507937,20.59843589273989,19.477041141878455,843.6392405063291,1368.8481012658228,20.605919238844425,19.56444087953588,244.28223495702005,983.551575931232,21.511065634665382,20.678809186150566,1106.1588921282798,967.0043731778426,21.592442766387325,20.28134629484733,920.027536231884,623.3811594202898,21.201018355866562,20.747911241478064,1161.511396011396,592.6424501424501,21.192205780968976,21.13636675790907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,7,1118.1953642384105,1454.1158940397352,20.146138392430682,19.13172135056265,748.6479099678456,1419.0948553054664,20.249491512175446,19.585358863000174,842.9745222929936,1408.43949044586,20.280062717074873,19.79610458312883,244.26093294460642,1024.2755102040817,21.12761783147643,20.714829261683544,1105.7192192192192,1007.6471471471472,21.104360399603834,20.098285324630652,918.7816091954023,665.6120689655172,21.364434985911096,20.759688578581564,1161.0693641618498,633.4075144508671,21.244692188398894,20.753119981503936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,7,748.2348242811502,1458.0623003194887,20.419277198331997,19.592659763473204,842.4708737864078,1447.92071197411,20.346672191429242,19.397954761244556,244.35185185185185,1064.6509971509972,21.32796841551335,20.98901015267455,1105.1805970149253,1048.0671641791046,21.12121422716896,20.241791901317093,917.5685714285714,707.7257142857143,21.262779372406758,21.003084153823625,1160.7073863636363,674.2528409090909,21.52117198011135,20.88476978761816,618.1571428571428,42.57999999999993,21.89609260516682,20.381382912900907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,6,841.9065573770491,1486.939344262295,19.96435127578436,19.50585980870043,244.5203488372093,1105.0436046511627,21.12162809531809,20.751637940775396,1104.7484662576687,1088.4723926380368,20.990700514067353,19.842579289988144,916.2947214076246,749.8958944281525,20.885814166995164,20.81089829929897,1160.3869565217392,714.8884057971014,21.05940708119229,20.90764319432081,616.1246418338109,82.09885386819474,21.827380541601812,20.39769545890649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,5,244.9608695652174,1145.3,21.542474114168666,20.400893128006334,1104.1846846846847,1128.7312312312313,21.206644651495363,20.014712421018093,915.02,792.2485714285714,21.440562117733077,20.805875008062984,1159.9942196531792,755.8179190751445,21.609020760760323,20.38669903754142,614.0344827586207,121.60057471264372,21.548088491893907,20.572388070933624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,5,245.4209726443769,1185.290273556231,20.71067227833642,20.33466026925685,1103.8661538461538,1168.6846153846154,20.719184153453202,20.021536090509528,914.0743440233236,834.3425655976677,21.21294993157674,20.603951993514688,1159.6882352941177,796.614705882353,21.09258161057672,20.539108386672982,611.9752186588921,161.13265306122457,21.234032806191944,20.591174984810017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5,246.09587020648968,1225.2197640117993,21.455002089236768,20.1481743336913,1103.4442724458204,1208.360681114551,20.90748272352376,19.705962821109747,912.8994413407821,876.5474860335196,22.365909569818793,20.41068716624726,1159.3781869688385,837.4405099150142,21.410409677833144,21.021977716969143,609.8638968481375,200.56876790830938,21.46573841658153,20.71989884438202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,5,247.01840490797545,1264.5705521472391,20.72646497450619,20.039157964504575,1103.1496815286623,1248.0191082802548,20.260342009931875,19.741193890248372,911.9367816091954,918.8103448275862,21.747177220928705,20.393432690442044,1159.0619596541787,878.1455331412104,21.671602261496535,20.431205263164543,607.9159292035398,240.06047197640123,21.029653356114448,20.557160135686168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,5,247.9378698224852,1303.973372781065,21.197437911241444,20.313903881646123,1102.8788819875776,1287.3260869565217,20.683895617650037,19.852985840367182,910.8464788732394,960.9591549295775,21.968728705918263,20.60744867263811,1158.862359550562,919.1151685393259,22.210792125655704,20.422701155654238,605.7755681818181,279.75852272727275,21.692070821842815,20.676879615895558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,5,248.93865030674846,1342.9631901840492,20.724348378321654,20.027339587701736,1102.611821086262,1326.38178913738,20.507408704618555,19.460622670988073,910.0333333333333,1002.6420289855073,21.54986430384847,20.394207132163032,1158.5695652173913,959.7086956521739,21.483586495784046,20.47692380629114,603.9029411764706,319.3147058823529,21.19939406844397,20.443401887900134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
